stat	value
thetaS_last_obs_p_mean	0.9879261
thetaI_last_obs_p_mean	0.0001677291
thetaR_last_obs_p_mean	0.01190615
thetaS_last_obs_p_ci_low	0.9874918
thetaS_last_obs_p_ci_med	0.987927
thetaS_last_obs_p_ci_up	0.988358
thetaI_last_obs_p_ci_low	0.0001190208
thetaI_last_obs_p_ci_med	0.0001668939
thetaI_last_obs_p_ci_up	0.0002211669
thetaR_last_obs_p_ci_low	0.01147805
thetaR_last_obs_p_ci_med	0.01190529
thetaR_last_obs_p_ci_up	0.01233795
R0_p_mean	1.079856
R0_p_ci_low	0.5369965
R0_p_ci_med	0.9764665
R0_p_ci_up	2.211826
gamma_p_mean	0.06089618
gamma_p_ci_low	0.006405253
gamma_p_ci_med	0.04515106
gamma_p_ci_up	0.198989
beta_p_mean	0.05779334
beta_p_ci_low	0.007919407
beta_p_ci_med	0.04425589
beta_p_ci_up	0.1833833
incidence_mean	0.001316817
incidence_ci_low	0.0001537304
incidence_ci_median	0.0009202841
incidence_ci_up	0.004434821
thetaI_tp1_mean	0.0001318291
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.001284262
thetaR_tp1_mean	0.01251718
thetaR_tp1_ci_low	0.006507458
thetaR_tp1_ci_med	0.01224537
thetaR_tp1_ci_up	0.02001271
Y_tp1_mean	0.0001317767
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.00128571
R_tp1_mean	0.01251638
R_tp1_ci_low	0.006495029
R_tp1_ci_med	0.01224386
R_tp1_ci_up	0.02004398
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01251718
thetaR_max_ci_low	0.006507458
thetaR_max_ci_med	0.01224537
thetaR_max_ci_up	0.02001271
cumInf_mean	0.01264901
cumInf_ci_low	0.006538483
cumInf_ci_med	0.01231637
cumInf_ci_up	0.02045635
dthetaI_tp1_date	07/13/21
first_tp_mean	01/26/21
first_tp_ci_low	12/26/20
first_tp_ci_med	01/31/21
first_tp_ci_up	02/09/21
dthetaI_tp2_date	07/13/21
second_tp_mean	01/28/21
second_tp_ci_low	12/28/20
second_tp_ci_med	02/02/21
second_tp_ci_up	03/28/21
end_p_mean	04/22/21
end_p_ci_low	02/23/21
end_p_ci_med	04/05/21
end_p_ci_up	07/13/21
begin_str	12/26/2020
