stat	value
thetaS_last_obs_p_mean	0.9845639
thetaI_last_obs_p_mean	0.000100758
thetaR_last_obs_p_mean	0.01533529
thetaS_last_obs_p_ci_low	0.9840799
thetaS_last_obs_p_ci_med	0.9845647
thetaS_last_obs_p_ci_up	0.9850447
thetaI_last_obs_p_ci_low	6.443393e-05
thetaI_last_obs_p_ci_med	9.986597e-05
thetaI_last_obs_p_ci_up	0.000142112
thetaR_last_obs_p_ci_low	0.01485639
thetaR_last_obs_p_ci_med	0.01533461
thetaR_last_obs_p_ci_up	0.01581755
R0_p_mean	1.390937
R0_p_ci_low	0.6271412
R0_p_ci_med	1.26041
R0_p_ci_up	2.870289
gamma_p_mean	0.04720262
gamma_p_ci_low	0.005921074
gamma_p_ci_med	0.03254633
gamma_p_ci_up	0.1769006
beta_p_mean	0.05651216
beta_p_ci_low	0.00807816
beta_p_ci_med	0.04363974
beta_p_ci_up	0.1836096
incidence_mean	0.0007755786
incidence_ci_low	6.991192e-05
incidence_ci_median	0.000427219
incidence_ci_up	0.003206962
thetaI_tp1_mean	0.0001258722
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.00109929
thetaR_tp1_mean	0.01573564
thetaR_tp1_ci_low	0.009132055
thetaR_tp1_ci_med	0.01547823
thetaR_tp1_ci_up	0.02368739
Y_tp1_mean	0.0001258095
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.001099268
R_tp1_mean	0.01573549
R_tp1_ci_low	0.009099283
R_tp1_ci_med	0.01547615
R_tp1_ci_up	0.02373179
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01573564
thetaR_max_ci_low	0.009132055
thetaR_max_ci_med	0.01547823
thetaR_max_ci_up	0.02368739
cumInf_mean	0.01586151
cumInf_ci_low	0.009149823
cumInf_ci_med	0.01554243
cumInf_ci_up	0.02407362
dthetaI_tp1_date	07/13/21
first_tp_mean	01/20/21
first_tp_ci_low	12/26/20
first_tp_ci_med	01/16/21
first_tp_ci_up	02/08/21
dthetaI_tp2_date	07/13/21
second_tp_mean	01/22/21
second_tp_ci_low	12/28/20
second_tp_ci_med	01/18/21
second_tp_ci_up	02/18/21
end_p_mean	04/12/21
end_p_ci_low	02/19/21
end_p_ci_med	03/25/21
end_p_ci_up	07/13/21
begin_str	12/26/2020
