stat	value
thetaS_last_obs_p_mean	0.9977646
thetaI_last_obs_p_mean	5.378578e-05
thetaR_last_obs_p_mean	0.002181571
thetaS_last_obs_p_ci_low	0.997578
thetaS_last_obs_p_ci_med	0.9977653
thetaS_last_obs_p_ci_up	0.9979468
thetaI_last_obs_p_ci_low	2.834215e-05
thetaI_last_obs_p_ci_med	5.289547e-05
thetaI_last_obs_p_ci_up	8.4422e-05
thetaR_last_obs_p_ci_low	0.002001332
thetaR_last_obs_p_ci_med	0.002180899
thetaR_last_obs_p_ci_up	0.002366437
R0_p_mean	1.518424
R0_p_ci_low	0.6645679
R0_p_ci_med	1.381024
R0_p_ci_up	3.147819
gamma_p_mean	0.05004387
gamma_p_ci_low	0.006607318
gamma_p_ci_med	0.03590317
gamma_p_ci_up	0.1758209
beta_p_mean	0.06606856
beta_p_ci_low	0.009169465
beta_p_ci_med	0.05271394
beta_p_ci_up	0.1995692
incidence_mean	0.000875143
incidence_ci_low	4.169421e-05
incidence_ci_median	0.0002689483
incidence_ci_up	0.003713679
thetaI_tp1_mean	0.000222151
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.001217455
thetaR_tp1_mean	0.002646854
thetaR_tp1_ci_low	0.0002460987
thetaR_tp1_ci_med	0.002178711
thetaR_tp1_ci_up	0.0066812
Y_tp1_mean	0.0002220821
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.001214477
R_tp1_mean	0.002646482
R_tp1_ci_low	0.000239809
R_tp1_ci_med	0.002176845
R_tp1_ci_up	0.006696956
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.002646854
thetaR_max_ci_low	0.0002460987
thetaR_max_ci_med	0.002178711
thetaR_max_ci_up	0.0066812
cumInf_mean	0.002869005
cumInf_ci_low	0.0002476617
cumInf_ci_med	0.002201459
cumInf_ci_up	0.007328568
dthetaI_tp1_date	04/29/21
first_tp_mean	10/31/20
first_tp_ci_low	10/12/20
first_tp_ci_med	10/21/20
first_tp_ci_up	11/25/20
dthetaI_tp2_date	04/29/21
second_tp_mean	11/02/20
second_tp_ci_low	10/14/20
second_tp_ci_med	10/23/20
second_tp_ci_up	01/31/21
end_p_mean	01/12/21
end_p_ci_low	12/02/20
end_p_ci_med	12/23/20
end_p_ci_up	04/29/21
begin_str	10/12/2020
