stat	value
thetaS_last_obs_p_mean	0.9821536
thetaI_last_obs_p_mean	3.769913e-05
thetaR_last_obs_p_mean	0.01780872
thetaS_last_obs_p_ci_low	0.9816347
thetaS_last_obs_p_ci_med	0.9821541
thetaS_last_obs_p_ci_up	0.98267
thetaI_last_obs_p_ci_low	1.664693e-05
thetaI_last_obs_p_ci_med	3.68848e-05
thetaI_last_obs_p_ci_up	6.311291e-05
thetaR_last_obs_p_ci_low	0.01729264
thetaR_last_obs_p_ci_med	0.01780797
thetaR_last_obs_p_ci_up	0.01832752
R0_p_mean	1.49509
R0_p_ci_low	0.6443566
R0_p_ci_med	1.354153
R0_p_ci_up	3.141137
gamma_p_mean	0.04929779
gamma_p_ci_low	0.006224236
gamma_p_ci_med	0.03389559
gamma_p_ci_up	0.1856407
beta_p_mean	0.06348409
beta_p_ci_low	0.008540827
beta_p_ci_med	0.04907438
beta_p_ci_up	0.204163
incidence_mean	0.01936559
incidence_ci_low	3.633347e-05
incidence_ci_median	0.0002565703
incidence_ci_up	0.2746463
thetaI_tp1_mean	0.003661288
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.03910559
thetaR_tp1_mean	0.02470717
thetaR_tp1_ci_low	0.01174796
thetaR_tp1_ci_med	0.01829871
thetaR_tp1_ci_up	0.07509351
Y_tp1_mean	0.003661147
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.03909685
R_tp1_mean	0.0247066
R_tp1_ci_low	0.0117285
R_tp1_ci_med	0.01829691
R_tp1_ci_up	0.07516687
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03124332
thetaR_max_ci_low	0.01120339
thetaR_max_ci_med	0.01843007
thetaR_max_ci_up	0.1830866
cumInf_mean	0.03683272
cumInf_ci_low	0.01122076
cumInf_ci_med	0.01854496
cumInf_ci_up	0.28764
dthetaI_tp1_date	05/27/21
first_tp_mean	01/18/21
first_tp_ci_low	12/06/20
first_tp_ci_med	12/26/20
first_tp_ci_up	06/23/21
dthetaI_tp2_date	05/27/21
second_tp_mean	01/20/21
second_tp_ci_low	12/08/20
second_tp_ci_med	12/27/20
second_tp_ci_up	06/23/21
end_p_mean	03/15/21
end_p_ci_low	01/24/21
end_p_ci_med	02/14/21
end_p_ci_up	06/23/21
begin_str	12/06/2020
