stat	value
thetaS_last_obs_p_mean	0.9821536
thetaI_last_obs_p_mean	3.769913e-05
thetaR_last_obs_p_mean	0.01780872
thetaS_last_obs_p_ci_low	0.9816347
thetaS_last_obs_p_ci_med	0.9821541
thetaS_last_obs_p_ci_up	0.98267
thetaI_last_obs_p_ci_low	1.664693e-05
thetaI_last_obs_p_ci_med	3.68848e-05
thetaI_last_obs_p_ci_up	6.311291e-05
thetaR_last_obs_p_ci_low	0.01729264
thetaR_last_obs_p_ci_med	0.01780797
thetaR_last_obs_p_ci_up	0.01832752
R0_p_mean	1.49509
R0_p_ci_low	0.6443566
R0_p_ci_med	1.354153
R0_p_ci_up	3.141137
gamma_p_mean	0.04929779
gamma_p_ci_low	0.006224236
gamma_p_ci_med	0.03389559
gamma_p_ci_up	0.1856407
beta_p_mean	0.06348409
beta_p_ci_low	0.008540827
beta_p_ci_med	0.04907438
beta_p_ci_up	0.204163
incidence_mean	0.0005530387
incidence_ci_low	3.41791e-05
incidence_ci_median	0.0002131746
incidence_ci_up	0.002110883
thetaI_tp1_mean	0.000117045
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0006520099
thetaR_tp1_mean	0.01805901
thetaR_tp1_ci_low	0.01096567
thetaR_tp1_ci_med	0.01778417
thetaR_tp1_ci_up	0.026423
Y_tp1_mean	0.0001170773
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0006524851
R_tp1_mean	0.0180594
R_tp1_ci_low	0.01095366
R_tp1_ci_med	0.01777449
R_tp1_ci_up	0.02645367
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01805901
thetaR_max_ci_low	0.01096567
thetaR_max_ci_med	0.01778417
thetaR_max_ci_up	0.026423
cumInf_mean	0.01817606
cumInf_ci_low	0.01098067
cumInf_ci_med	0.01781273
cumInf_ci_up	0.02669336
dthetaI_tp1_date	06/23/21
first_tp_mean	12/25/20
first_tp_ci_low	12/06/20
first_tp_ci_med	12/22/20
first_tp_ci_up	01/19/21
dthetaI_tp2_date	06/23/21
second_tp_mean	12/27/20
second_tp_ci_low	12/08/20
second_tp_ci_med	12/24/20
second_tp_ci_up	01/21/21
end_p_mean	02/26/21
end_p_ci_low	01/24/21
end_p_ci_med	02/09/21
end_p_ci_up	06/23/21
begin_str	12/06/2020
