stat	value
thetaS_last_obs_p_mean	0.9882887
thetaI_last_obs_p_mean	6.257499e-05
thetaR_last_obs_p_mean	0.01164875
thetaS_last_obs_p_ci_low	0.9878668
thetaS_last_obs_p_ci_med	0.9882893
thetaS_last_obs_p_ci_up	0.9887064
thetaI_last_obs_p_ci_low	3.505267e-05
thetaI_last_obs_p_ci_med	6.171559e-05
thetaI_last_obs_p_ci_up	9.503376e-05
thetaR_last_obs_p_ci_low	0.01123277
thetaR_last_obs_p_ci_med	0.01164788
thetaR_last_obs_p_ci_up	0.01206961
R0_p_mean	1.51696
R0_p_ci_low	0.6615078
R0_p_ci_med	1.376844
R0_p_ci_up	3.162271
gamma_p_mean	0.048853
gamma_p_ci_low	0.006321537
gamma_p_ci_med	0.03402153
gamma_p_ci_up	0.1817228
beta_p_mean	0.06408669
beta_p_ci_low	0.008759712
beta_p_ci_med	0.04996851
beta_p_ci_up	0.2028501
incidence_mean	0.003517737
incidence_ci_low	4.527322e-05
incidence_ci_median	0.0003126908
incidence_ci_up	0.02036279
thetaI_tp1_mean	0.001213552
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.007721256
thetaR_tp1_mean	0.01375174
thetaR_tp1_ci_low	0.006397286
thetaR_tp1_ci_med	0.01197711
thetaR_tp1_ci_up	0.02531059
Y_tp1_mean	0.001213461
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.007718624
R_tp1_mean	0.01375215
R_tp1_ci_low	0.006367982
R_tp1_ci_med	0.0119741
R_tp1_ci_up	0.02534114
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01375174
thetaR_max_ci_low	0.006397286
thetaR_max_ci_med	0.01197711
thetaR_max_ci_up	0.02531059
cumInf_mean	0.01496529
cumInf_ci_low	0.006417815
cumInf_ci_med	0.01206226
cumInf_ci_up	0.03235599
dthetaI_tp1_date	07/17/21
first_tp_mean	02/01/21
first_tp_ci_low	12/30/20
first_tp_ci_med	01/23/21
first_tp_ci_up	07/17/21
dthetaI_tp2_date	07/17/21
second_tp_mean	02/03/21
second_tp_ci_low	01/01/21
second_tp_ci_med	01/25/21
second_tp_ci_up	07/17/21
end_p_mean	04/13/21
end_p_ci_low	02/20/21
end_p_ci_med	03/20/21
end_p_ci_up	07/17/21
begin_str	12/30/2020
