stat	value
thetaS_last_obs_p_mean	0.9991094
thetaI_last_obs_p_mean	0.0002501992
thetaR_last_obs_p_mean	0.0006404487
thetaS_last_obs_p_ci_low	0.9989885
thetaS_last_obs_p_ci_med	0.9991103
thetaS_last_obs_p_ci_up	0.9992251
thetaI_last_obs_p_ci_low	0.0001909235
thetaI_last_obs_p_ci_med	0.0002492276
thetaI_last_obs_p_ci_up	0.0003150063
thetaR_last_obs_p_ci_low	0.0005430337
thetaR_last_obs_p_ci_med	0.0006395122
thetaR_last_obs_p_ci_up	0.0007428253
R0_p_mean	1.630985
R0_p_ci_low	0.8675783
R0_p_ci_med	1.534164
R0_p_ci_up	2.968712
gamma_p_mean	0.06115654
gamma_p_ci_low	0.01404231
gamma_p_ci_med	0.05773704
gamma_p_ci_up	0.128504
beta_p_mean	0.09290194
beta_p_ci_low	0.02256918
beta_p_ci_med	0.09036772
beta_p_ci_up	0.1789315
incidence_mean	0.005511702
incidence_ci_low	0.0003215104
incidence_ci_median	0.00160997
incidence_ci_up	0.03534283
thetaI_tp1_mean	0.001357473
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0112547
thetaR_tp1_mean	0.004326851
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.001784088
thetaR_tp1_ci_up	0.02471875
Y_tp1_mean	0.001357355
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01125554
R_tp1_mean	0.004327134
R_tp1_ci_low	0
R_tp1_ci_med	0.001781672
R_tp1_ci_up	0.02474378
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.004326851
thetaR_max_ci_low	0
thetaR_max_ci_med	0.001784088
thetaR_max_ci_up	0.02471875
cumInf_mean	0.005684325
cumInf_ci_low	0
cumInf_ci_med	0.001869604
cumInf_ci_up	0.03544773
dthetaI_tp1_date	01/23/21
first_tp_mean	08/16/20
first_tp_ci_low	07/17/20
first_tp_ci_med	08/03/20
first_tp_ci_up	01/23/21
dthetaI_tp2_date	01/23/21
second_tp_mean	08/18/20
second_tp_ci_low	07/19/20
second_tp_ci_med	08/05/20
second_tp_ci_up	01/23/21
end_p_mean	12/03/20
end_p_ci_low	09/14/20
end_p_ci_med	12/07/20
end_p_ci_up	01/23/21
begin_str	07/08/2020
