stat	value
thetaS_last_obs_p_mean	0.992559
thetaI_last_obs_p_mean	0.0001733126
thetaR_last_obs_p_mean	0.007267717
thetaS_last_obs_p_ci_low	0.9922164
thetaS_last_obs_p_ci_med	0.9925595
thetaS_last_obs_p_ci_up	0.9928976
thetaI_last_obs_p_ci_low	0.0001247422
thetaI_last_obs_p_ci_med	0.0001723813
thetaI_last_obs_p_ci_up	0.0002277283
thetaR_last_obs_p_ci_low	0.006933005
thetaR_last_obs_p_ci_med	0.007267644
thetaR_last_obs_p_ci_up	0.007605463
R0_p_mean	0.9746339
R0_p_ci_low	0.5353883
R0_p_ci_med	0.9085238
R0_p_ci_up	1.870766
gamma_p_mean	0.07572961
gamma_p_ci_low	0.008551091
gamma_p_ci_med	0.06652162
gamma_p_ci_up	0.1949614
beta_p_mean	0.0681693
beta_p_ci_low	0.01007725
beta_p_ci_med	0.0581571
beta_p_ci_up	0.1790042
incidence_mean	0.001379973
incidence_ci_low	0.0002281489
incidence_ci_median	0.001211398
incidence_ci_up	0.003416052
thetaI_tp1_mean	3.041618e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.000368006
thetaR_tp1_mean	0.007658614
thetaR_tp1_ci_low	0.003192138
thetaR_tp1_ci_med	0.007430863
thetaR_tp1_ci_up	0.01344599
Y_tp1_mean	3.045182e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0003698493
R_tp1_mean	0.007658035
R_tp1_ci_low	0.003178004
R_tp1_ci_med	0.007428789
R_tp1_ci_up	0.01347035
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.007658614
thetaR_max_ci_low	0.003192138
thetaR_max_ci_med	0.007430863
thetaR_max_ci_up	0.01344599
cumInf_mean	0.007689031
cumInf_ci_low	0.003201457
cumInf_ci_med	0.007453521
cumInf_ci_up	0.01353113
dthetaI_tp1_date	04/24/21
first_tp_mean	10/27/20
first_tp_ci_low	10/07/20
first_tp_ci_med	11/01/20
first_tp_ci_up	11/21/20
dthetaI_tp2_date	04/24/21
second_tp_mean	10/29/20
second_tp_ci_low	10/07/20
second_tp_ci_med	11/03/20
second_tp_ci_up	11/22/20
end_p_mean	01/16/21
end_p_ci_low	12/04/20
end_p_ci_med	01/03/21
end_p_ci_up	04/24/21
begin_str	10/07/2020
