stat	value
thetaS_last_obs_p_mean	0.997105
thetaI_last_obs_p_mean	0.0002143299
thetaR_last_obs_p_mean	0.00268065
thetaS_last_obs_p_ci_low	0.9968916
thetaS_last_obs_p_ci_med	0.9971059
thetaS_last_obs_p_ci_up	0.9973138
thetaI_last_obs_p_ci_low	0.0001595516
thetaI_last_obs_p_ci_med	0.0002134073
thetaI_last_obs_p_ci_up	0.0002737321
thetaR_last_obs_p_ci_low	0.002479884
thetaR_last_obs_p_ci_med	0.002680001
thetaR_last_obs_p_ci_up	0.002886411
R0_p_mean	1.345209
R0_p_ci_low	0.6624267
R0_p_ci_med	1.233472
R0_p_ci_up	2.658491
gamma_p_mean	0.04715531
gamma_p_ci_low	0.006903497
gamma_p_ci_med	0.03793838
gamma_p_ci_up	0.1364512
beta_p_mean	0.05657657
beta_p_ci_low	0.009475484
beta_p_ci_med	0.04854133
beta_p_ci_up	0.1477333
incidence_mean	0.02097231
incidence_ci_low	0.0002124019
incidence_ci_median	0.002240396
incidence_ci_up	0.2060497
thetaI_tp1_mean	0.006403779
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0002245346
thetaI_tp1_ci_up	0.06368504
thetaR_tp1_mean	0.01662167
thetaR_tp1_ci_low	0.0008299821
thetaR_tp1_ci_med	0.004608361
thetaR_tp1_ci_up	0.1354061
Y_tp1_mean	0.0064037
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0002222822
Y_tp1_ci_up	0.06374571
R_tp1_mean	0.01662071
R_tp1_ci_low	0.0008219911
R_tp1_ci_med	0.004607995
R_tp1_ci_up	0.1353984
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01662167
thetaR_max_ci_low	0.0008299821
thetaR_max_ci_med	0.004608361
thetaR_max_ci_up	0.1354061
cumInf_mean	0.02302545
cumInf_ci_low	0.0008564589
cumInf_ci_med	0.005045965
cumInf_ci_up	0.2052247
dthetaI_tp1_date	04/06/21
first_tp_mean	11/21/20
first_tp_ci_low	09/19/20
first_tp_ci_med	10/10/20
first_tp_ci_up	04/06/21
dthetaI_tp2_date	04/06/21
second_tp_mean	11/23/20
second_tp_ci_low	09/21/20
second_tp_ci_med	10/11/20
second_tp_ci_up	04/06/21
end_p_mean	03/01/21
end_p_ci_low	11/26/20
end_p_ci_med	04/06/21
end_p_ci_up	04/06/21
begin_str	09/19/2020
