stat	value
thetaS_last_obs_p_mean	0.9938122
thetaI_last_obs_p_mean	8.128522e-05
thetaR_last_obs_p_mean	0.006106508
thetaS_last_obs_p_ci_low	0.9935031
thetaS_last_obs_p_ci_med	0.9938125
thetaS_last_obs_p_ci_up	0.9941176
thetaI_last_obs_p_ci_low	4.876438e-05
thetaI_last_obs_p_ci_med	8.0474e-05
thetaI_last_obs_p_ci_up	0.0001184519
thetaR_last_obs_p_ci_low	0.005803415
thetaR_last_obs_p_ci_med	0.006106085
thetaR_last_obs_p_ci_up	0.006414009
R0_p_mean	1.268732
R0_p_ci_low	0.5913201
R0_p_ci_med	1.143097
R0_p_ci_up	2.636534
gamma_p_mean	0.05209262
gamma_p_ci_low	0.006131178
gamma_p_ci_med	0.03663284
gamma_p_ci_up	0.1845224
beta_p_mean	0.0568423
beta_p_ci_low	0.008097611
beta_p_ci_med	0.04418454
beta_p_ci_up	0.1806716
incidence_mean	0.007304762
incidence_ci_low	8.621807e-05
incidence_ci_median	0.00061387
incidence_ci_up	0.05781036
thetaI_tp1_mean	0.002232496
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0198443
thetaR_tp1_mean	0.01076383
thetaR_tp1_ci_low	0.002540186
thetaR_tp1_ci_med	0.006678485
thetaR_tp1_ci_up	0.04131776
Y_tp1_mean	0.002232705
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01991121
R_tp1_mean	0.01076388
R_tp1_ci_low	0.002530144
R_tp1_ci_med	0.006677344
R_tp1_ci_up	0.0413212
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01076383
thetaR_max_ci_low	0.002540186
thetaR_max_ci_med	0.006678485
thetaR_max_ci_up	0.04131776
cumInf_mean	0.01299633
cumInf_ci_low	0.002554133
cumInf_ci_med	0.006786548
cumInf_ci_up	0.06307632
dthetaI_tp1_date	06/20/21
first_tp_mean	01/10/21
first_tp_ci_low	12/03/20
first_tp_ci_med	12/12/20
first_tp_ci_up	06/20/21
dthetaI_tp2_date	06/20/21
second_tp_mean	01/12/21
second_tp_ci_low	12/05/20
second_tp_ci_med	12/13/20
second_tp_ci_up	06/20/21
end_p_mean	03/31/21
end_p_ci_low	01/26/21
end_p_ci_med	03/08/21
end_p_ci_up	06/20/21
begin_str	12/03/2020
