stat	value
thetaS_last_obs_p_mean	0.9921159
thetaI_last_obs_p_mean	0.0006625324
thetaR_last_obs_p_mean	0.007221531
thetaS_last_obs_p_ci_low	0.9917358
thetaS_last_obs_p_ci_med	0.9921165
thetaS_last_obs_p_ci_up	0.992491
thetaI_last_obs_p_ci_low	0.0005558549
thetaI_last_obs_p_ci_med	0.0006614552
thetaI_last_obs_p_ci_up	0.0007755232
thetaR_last_obs_p_ci_low	0.006863264
thetaR_last_obs_p_ci_med	0.007220672
thetaR_last_obs_p_ci_up	0.007585997
R0_p_mean	0.9017567
R0_p_ci_low	0.6855455
R0_p_ci_med	0.901343
R0_p_ci_up	1.120577
gamma_p_mean	0.1012495
gamma_p_ci_low	0.06815156
gamma_p_ci_med	0.101314
gamma_p_ci_up	0.1339891
beta_p_mean	0.09139482
beta_p_ci_low	0.05477602
beta_p_ci_med	0.09115321
beta_p_ci_up	0.1293696
incidence_mean	0.006767698
incidence_ci_low	0.003832563
incidence_ci_median	0.006573807
incidence_ci_up	0.01089487
thetaI_tp1_mean	0.001561922
thetaI_tp1_ci_low	0.001421575
thetaI_tp1_ci_med	0.001561324
thetaI_tp1_ci_up	0.001706412
thetaR_tp1_mean	0.002619102
thetaR_tp1_ci_low	0.002436321
thetaR_tp1_ci_med	0.002618192
thetaR_tp1_ci_up	0.002805917
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.008942927
R_tp1_ci_low	0.004777877
R_tp1_ci_med	0.00857986
R_tp1_ci_up	0.01477133
thetaI_tp2_mean	0.001634589
thetaI_tp2_ci_low	0.00149012
thetaI_tp2_ci_med	0.001634034
thetaI_tp2_ci_up	0.001782419
thetaR_tp2_mean	0.003294024
thetaR_tp2_ci_low	0.003087965
thetaR_tp2_ci_med	0.003293097
thetaR_tp2_ci_up	0.00350455
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.009388385
thetaR_max_ci_low	0.003719781
thetaR_max_ci_med	0.009043491
thetaR_max_ci_up	0.0170529
cumInf_mean	0.009399722
cumInf_ci_low	0.003721258
cumInf_ci_med	0.009050273
cumInf_ci_up	0.01710916
dthetaI_tp1_date	06/24/20
first_tp_mean	06/21/20
first_tp_ci_low	06/14/20
first_tp_ci_med	06/23/20
first_tp_ci_up	06/29/20
dthetaI_tp2_date	06/28/20
second_tp_mean	06/23/20
second_tp_ci_low	06/16/20
second_tp_ci_med	06/26/20
second_tp_ci_up	07/01/20
end_p_mean	10/16/20
end_p_ci_low	08/28/20
end_p_ci_med	10/09/20
end_p_ci_up	12/30/20
begin_str	06/14/2020
