stat	value
thetaS_last_obs_p_mean	0.9882268
thetaI_last_obs_p_mean	0.001884333
thetaR_last_obs_p_mean	0.009888863
thetaS_last_obs_p_ci_low	0.9877924
thetaS_last_obs_p_ci_med	0.9882283
thetaS_last_obs_p_ci_up	0.9886562
thetaI_last_obs_p_ci_low	0.001713021
thetaI_last_obs_p_ci_med	0.001883276
thetaI_last_obs_p_ci_up	0.002061342
thetaR_last_obs_p_ci_low	0.009496804
thetaR_last_obs_p_ci_med	0.009887615
thetaR_last_obs_p_ci_up	0.01028559
R0_p_mean	1.072247
R0_p_ci_low	0.8988171
R0_p_ci_med	1.069972
R0_p_ci_up	1.260025
gamma_p_mean	0.09655183
gamma_p_ci_low	0.06846467
gamma_p_ci_med	0.09664392
gamma_p_ci_up	0.1241859
beta_p_mean	0.1033251
beta_p_ci_low	0.07121454
beta_p_ci_med	0.1033823
beta_p_ci_up	0.1350892
incidence_mean	0.06057409
incidence_ci_low	0.01498245
incidence_ci_median	0.04757375
incidence_ci_up	0.181856
thetaI_tp1_mean	0.001659363
thetaI_tp1_ci_low	0.001525954
thetaI_tp1_ci_med	0.001658719
thetaI_tp1_ci_up	0.001796489
thetaR_tp1_mean	0.002305507
thetaR_tp1_ci_low	0.002145927
thetaR_tp1_ci_med	0.002304929
thetaR_tp1_ci_up	0.002468527
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.03062225
R_tp1_ci_low	0.01045477
R_tp1_ci_med	0.02406112
R_tp1_ci_up	0.0915133
thetaI_tp2_mean	0.001798682
thetaI_tp2_ci_low	0.001659371
thetaI_tp2_ci_med	0.00179837
thetaI_tp2_ci_up	0.001941507
thetaR_tp2_mean	0.003697007
thetaR_tp2_ci_low	0.00349536
thetaR_tp2_ci_med	0.003696322
thetaR_tp2_ci_up	0.003903284
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.05880509
thetaR_max_ci_low	0.01726077
thetaR_max_ci_med	0.04782631
thetaR_max_ci_up	0.1645894
cumInf_mean	0.06369856
cumInf_ci_low	0.01750141
cumInf_ci_med	0.0509283
cumInf_ci_up	0.1841905
dthetaI_tp1_date	08/06/20
first_tp_mean	08/26/20
first_tp_ci_low	08/02/20
first_tp_ci_med	08/22/20
first_tp_ci_up	01/06/21
dthetaI_tp2_date	08/14/20
second_tp_mean	08/30/20
second_tp_ci_low	08/05/20
second_tp_ci_med	08/24/20
second_tp_ci_up	01/26/21
end_p_mean	02/16/21
end_p_ci_low	02/16/21
end_p_ci_med	02/17/21
end_p_ci_up	02/17/21
begin_str	08/02/2020
