stat	value
thetaS_last_obs_p_mean	0.9920836
thetaI_last_obs_p_mean	4.836649e-05
thetaR_last_obs_p_mean	0.007868016
thetaS_last_obs_p_ci_low	0.9917362
thetaS_last_obs_p_ci_med	0.9920842
thetaS_last_obs_p_ci_up	0.9924262
thetaI_last_obs_p_ci_low	2.418521e-05
thetaI_last_obs_p_ci_med	4.749629e-05
thetaI_last_obs_p_ci_up	7.756579e-05
thetaR_last_obs_p_ci_low	0.007527
thetaR_last_obs_p_ci_med	0.007867287
thetaR_last_obs_p_ci_up	0.008214797
R0_p_mean	1.509537
R0_p_ci_low	0.6482735
R0_p_ci_med	1.369644
R0_p_ci_up	3.146929
gamma_p_mean	0.04975004
gamma_p_ci_low	0.006350332
gamma_p_ci_med	0.03437258
gamma_p_ci_up	0.1863982
beta_p_mean	0.06466925
beta_p_ci_low	0.008699362
beta_p_ci_med	0.0502136
beta_p_ci_up	0.2060707
incidence_mean	0.0007345304
incidence_ci_low	3.445607e-05
incidence_ci_median	0.0002214313
incidence_ci_up	0.003134545
thetaI_tp1_mean	0.0001892839
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.001023967
thetaR_tp1_mean	0.008245337
thetaR_tp1_ci_low	0.00356119
thetaR_tp1_ci_med	0.007867561
thetaR_tp1_ci_up	0.01435321
Y_tp1_mean	0.0001892317
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.001024399
R_tp1_mean	0.008244284
R_tp1_ci_low	0.00354362
R_tp1_ci_med	0.007865415
R_tp1_ci_up	0.01437432
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.008245337
thetaR_max_ci_low	0.00356119
thetaR_max_ci_med	0.007867561
thetaR_max_ci_up	0.01435321
cumInf_mean	0.008434621
cumInf_ci_low	0.003567263
cumInf_ci_med	0.007897251
cumInf_ci_up	0.01478087
dthetaI_tp1_date	06/16/21
first_tp_mean	12/25/20
first_tp_ci_low	11/29/20
first_tp_ci_med	12/21/20
first_tp_ci_up	01/12/21
dthetaI_tp2_date	06/16/21
second_tp_mean	12/27/20
second_tp_ci_low	12/01/20
second_tp_ci_med	12/23/20
second_tp_ci_up	03/24/21
end_p_mean	02/25/21
end_p_ci_low	01/18/21
end_p_ci_med	02/07/21
end_p_ci_up	06/16/21
begin_str	11/29/2020
