stat	value
thetaS_last_obs_p_mean	0.9978895
thetaI_last_obs_p_mean	0.0002267004
thetaR_last_obs_p_mean	0.001883802
thetaS_last_obs_p_ci_low	0.9977127
thetaS_last_obs_p_ci_med	0.9978894
thetaS_last_obs_p_ci_up	0.998062
thetaI_last_obs_p_ci_low	0.0001731664
thetaI_last_obs_p_ci_med	0.0002255647
thetaI_last_obs_p_ci_up	0.0002851034
thetaR_last_obs_p_ci_low	0.001718829
thetaR_last_obs_p_ci_med	0.001883566
thetaR_last_obs_p_ci_up	0.002049208
R0_p_mean	1.246625
R0_p_ci_low	0.6668813
R0_p_ci_med	1.168778
R0_p_ci_up	2.213007
gamma_p_mean	0.06050864
gamma_p_ci_low	0.01084001
gamma_p_ci_med	0.05623189
gamma_p_ci_up	0.1340533
beta_p_mean	0.06995668
beta_p_ci_low	0.01334003
beta_p_ci_med	0.06630342
beta_p_ci_up	0.151687
incidence_mean	0.001633292
incidence_ci_low	0.0002631707
incidence_ci_median	0.001338093
incidence_ci_up	0.004845649
thetaI_tp1_mean	0.0003163506
thetaI_tp1_ci_low	0.0002607421
thetaI_tp1_ci_med	0.0003159648
thetaI_tp1_ci_up	0.0003753013
thetaR_tp1_mean	0.001051485
thetaR_tp1_ci_low	0.0009439586
thetaR_tp1_ci_med	0.001050355
thetaR_tp1_ci_up	0.001166983
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.002388238
R_tp1_ci_low	0.0005908094
R_tp1_ci_med	0.002177829
R_tp1_ci_up	0.00541566
thetaI_tp2_mean	0.0003437218
thetaI_tp2_ci_low	0.000283484
thetaI_tp2_ci_med	0.0003433989
thetaI_tp2_ci_up	0.0004082446
thetaR_tp2_mean	0.001348295
thetaR_tp2_ci_low	0.001226148
thetaR_tp2_ci_med	0.001348282
thetaR_tp2_ci_up	0.001475403
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.002644759
thetaR_max_ci_low	0.0002520746
thetaR_max_ci_med	0.002276384
thetaR_max_ci_up	0.006956281
cumInf_mean	0.002747506
cumInf_ci_low	0.0002520746
cumInf_ci_med	0.002311952
cumInf_ci_up	0.007379947
dthetaI_tp1_date	09/07/20
first_tp_mean	09/05/20
first_tp_ci_low	08/23/20
first_tp_ci_med	09/05/20
first_tp_ci_up	09/23/20
dthetaI_tp2_date	09/17/20
second_tp_mean	09/07/20
second_tp_ci_low	08/25/20
second_tp_ci_med	09/07/20
second_tp_ci_up	09/25/20
end_p_mean	12/26/20
end_p_ci_low	10/27/20
end_p_ci_med	12/12/20
end_p_ci_up	03/10/21
begin_str	08/23/2020
