stat	value
thetaS_last_obs_p_mean	0.9949514
thetaI_last_obs_p_mean	0.001095679
thetaR_last_obs_p_mean	0.003952892
thetaS_last_obs_p_ci_low	0.9946344
thetaS_last_obs_p_ci_med	0.9949488
thetaS_last_obs_p_ci_up	0.9952611
thetaI_last_obs_p_ci_low	0.0009620043
thetaI_last_obs_p_ci_med	0.001096422
thetaI_last_obs_p_ci_up	0.001238338
thetaR_last_obs_p_ci_low	0.003663103
thetaR_last_obs_p_ci_med	0.00395769
thetaR_last_obs_p_ci_up	0.004225133
R0_p_mean	1.327238
R0_p_ci_low	0.932744
R0_p_ci_med	1.302058
R0_p_ci_up	1.87808
gamma_p_mean	0.0627749
gamma_p_ci_low	0.0330943
gamma_p_ci_med	0.06300709
gamma_p_ci_up	0.09330404
beta_p_mean	0.08188749
beta_p_ci_low	0.04357294
beta_p_ci_med	0.08167664
beta_p_ci_up	0.1191049
incidence_mean	0.00809493
incidence_ci_low	0.003397149
incidence_ci_median	0.006977641
incidence_ci_up	0.01969732
thetaI_tp1_mean	0.0008059165
thetaI_tp1_ci_low	0.0007051459
thetaI_tp1_ci_med	0.0008049653
thetaI_tp1_ci_up	0.0009136394
thetaR_tp1_mean	0.0007865003
thetaR_tp1_ci_low	0.0006908163
thetaR_tp1_ci_med	0.0007851233
thetaR_tp1_ci_up	0.0008893255
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.007082094
R_tp1_ci_low	0.003146093
R_tp1_ci_med	0.006391417
R_tp1_ci_up	0.01511231
thetaI_tp2_mean	0.001475947
thetaI_tp2_ci_low	0.001342111
thetaI_tp2_ci_med	0.001473158
thetaI_tp2_ci_up	0.001622304
thetaR_tp2_mean	0.001995461
thetaR_tp2_ci_low	0.001847331
thetaR_tp2_ci_med	0.001994267
thetaR_tp2_ci_up	0.002164019
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.008929849
thetaR_max_ci_low	0.002365624
thetaR_max_ci_med	0.008064306
thetaR_max_ci_up	0.02047734
cumInf_mean	0.009274724
cumInf_ci_low	0.002375515
cumInf_ci_med	0.008222728
cumInf_ci_up	0.02230517
dthetaI_tp1_date	09/04/20
first_tp_mean	09/08/20
first_tp_ci_low	08/30/20
first_tp_ci_med	09/08/20
first_tp_ci_up	09/16/20
dthetaI_tp2_date	09/21/20
second_tp_mean	09/13/20
second_tp_ci_low	09/05/20
second_tp_ci_med	09/14/20
second_tp_ci_up	09/21/20
end_p_mean	02/09/21
end_p_ci_low	11/25/20
end_p_ci_med	02/28/21
end_p_ci_up	03/10/21
begin_str	08/23/2020
