place,date,daily_cases,daily_recovered,daily_deaths,total_cases,total_recovered,total_deaths
Andaman and Nicobar Islands,2020-03-14,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-15,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-16,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-17,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-18,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-19,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-20,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-21,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-22,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-23,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-24,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-25,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-03-26,1,0,0,1,0,0
Andaman and Nicobar Islands,2020-03-27,5,0,0,6,0,0
Andaman and Nicobar Islands,2020-03-28,3,0,0,9,0,0
Andaman and Nicobar Islands,2020-03-29,0,0,0,9,0,0
Andaman and Nicobar Islands,2020-03-30,1,0,0,10,0,0
Andaman and Nicobar Islands,2020-03-31,0,0,0,10,0,0
Andaman and Nicobar Islands,2020-04-01,0,0,0,10,0,0
Andaman and Nicobar Islands,2020-04-02,0,0,0,10,0,0
Andaman and Nicobar Islands,2020-04-03,0,0,0,10,0,0
Andaman and Nicobar Islands,2020-04-04,0,0,0,10,0,0
Andaman and Nicobar Islands,2020-04-05,0,0,0,10,0,0
Andaman and Nicobar Islands,2020-04-06,0,0,0,10,0,0
Andaman and Nicobar Islands,2020-04-07,0,0,0,10,0,0
Andaman and Nicobar Islands,2020-04-08,1,0,0,11,0,0
Andaman and Nicobar Islands,2020-04-09,0,10,0,11,10,0
Andaman and Nicobar Islands,2020-04-10,0,0,0,11,10,0
Andaman and Nicobar Islands,2020-04-11,0,0,0,11,10,0
Andaman and Nicobar Islands,2020-04-12,0,0,0,11,10,0
Andaman and Nicobar Islands,2020-04-13,0,0,0,11,10,0
Andaman and Nicobar Islands,2020-04-14,0,0,0,11,10,0
Andaman and Nicobar Islands,2020-04-15,0,0,0,11,10,0
Andaman and Nicobar Islands,2020-04-16,0,1,0,11,11,0
Andaman and Nicobar Islands,2020-04-17,1,0,0,12,11,0
Andaman and Nicobar Islands,2020-04-18,2,0,0,14,11,0
Andaman and Nicobar Islands,2020-04-19,1,0,0,15,11,0
Andaman and Nicobar Islands,2020-04-20,1,0,0,16,11,0
