date	value	lower_ci	upper_ci	incidence	scenario
2020-08-06	23485	17664	29994	NA	Moderate return
2020-08-07	23898	17135	31505	413	Moderate return
2020-08-08	24308	16691	33038	410	Moderate return
2020-08-09	24725	16351	34478	417	Moderate return
2020-08-10	25147	16021	35915	422	Moderate return
2020-08-11	25571	15705	37303	424	Moderate return
2020-08-12	26001	15471	38679	430	Moderate return
2020-08-13	26435	15241	40062	434	Moderate return
2020-08-14	26871	15042	41461	436	Moderate return
2020-08-15	27310	14889	42852	439	Moderate return
2020-08-16	27758	14691	44176	448	Moderate return
2020-08-17	28211	14526	45625	453	Moderate return
2020-08-18	28668	14410	47033	457	Moderate return
2020-08-19	29131	14279	48435	463	Moderate return
2020-08-20	29593	14161	49927	462	Moderate return
2020-08-21	30062	14057	51361	469	Moderate return
2020-08-22	30530	13902	52875	468	Moderate return
2020-08-23	31002	13843	54453	472	Moderate return
2020-08-24	31478	13744	55859	476	Moderate return
2020-08-25	31965	13647	57378	487	Moderate return
2020-08-26	32450	13589	59046	485	Moderate return
2020-08-27	32951	13504	60579	501	Moderate return
2020-08-28	33450	13467	62229	499	Moderate return
2020-08-29	33954	13390	63855	504	Moderate return
2020-08-30	34468	13311	65566	514	Moderate return
2020-08-31	34987	13236	67331	519	Moderate return
2020-09-01	35512	13156	69013	525	Moderate return
2020-09-02	36047	13125	70974	535	Moderate return
2020-09-03	36590	13091	72666	543	Moderate return
2020-09-04	37140	13009	74526	550	Moderate return
2020-09-05	37694	12985	76422	554	Moderate return
2020-09-06	38255	12963	78492	561	Moderate return
2020-09-07	38828	12893	80354	573	Moderate return
2020-09-08	39398	12848	82400	570	Moderate return
2020-09-09	39979	12818	84406	581	Moderate return
2020-09-10	40571	12744	86755	592	Moderate return
2020-09-11	41160	12752	89033	589	Moderate return
2020-09-12	41764	12703	91171	604	Moderate return
2020-09-13	42377	12628	93387	613	Moderate return
2020-09-14	43003	12609	95853	626	Moderate return
2020-09-15	43635	12519	98285	632	Moderate return
2020-09-16	44273	12496	100650	638	Moderate return
2020-09-17	44919	12539	103222	646	Moderate return
2020-09-18	45574	12445	105864	655	Moderate return
2020-09-19	46233	12422	108643	659	Moderate return
2020-09-20	46913	12363	111415	680	Moderate return
2020-09-21	47604	12355	114188	691	Moderate return
2020-09-22	48301	12359	116978	697	Moderate return
2020-09-23	49006	12299	119898	705	Moderate return
2020-09-24	49721	12301	123076	715	Moderate return
2020-09-25	50447	12200	126107	726	Moderate return
2020-09-26	51191	12177	129245	744	Moderate return
2020-09-27	51937	12150	132744	746	Moderate return
2020-09-28	52693	12168	136124	756	Moderate return
2020-09-29	53466	12104	139442	773	Moderate return
2020-09-30	54245	12093	142993	779	Moderate return
2020-10-01	55041	12081	146682	796	Moderate return
2020-10-02	55845	12062	150365	804	Moderate return
2020-10-03	56661	12022	154239	816	Moderate return
2020-10-04	57492	12066	158078	831	Moderate return
2020-10-05	58338	12070	162124	846	Moderate return
2020-10-06	59202	12095	166497	864	Moderate return
2020-10-07	60074	12005	170528	872	Moderate return
2020-10-08	60962	11986	174827	888	Moderate return
2020-10-09	61872	12009	179404	910	Moderate return
2020-10-10	62792	11972	184018	920	Moderate return
2020-10-11	63722	12000	188625	930	Moderate return
2020-10-12	64672	12009	193404	950	Moderate return
2020-10-13	65653	11985	198533	981	Moderate return
2020-10-14	66645	12012	203381	992	Moderate return
2020-10-15	67646	11979	208988	1001	Moderate return
2020-10-16	68667	11952	214029	1021	Moderate return
2020-10-17	69707	11944	219223	1040	Moderate return
2020-10-18	70769	11952	224970	1062	Moderate return
2020-10-19	71846	11949	230812	1077	Moderate return
2020-10-20	72941	11909	236611	1095	Moderate return
2020-10-21	74055	11955	243435	1114	Moderate return
2020-10-22	75192	11895	249380	1137	Moderate return
2020-10-23	76342	11914	256074	1150	Moderate return
2020-10-24	77521	11921	262385	1179	Moderate return
2020-10-25	78719	11904	269121	1198	Moderate return
2020-10-26	79947	11857	275823	1228	Moderate return
2020-10-27	81194	11830	282601	1247	Moderate return
2020-10-28	82464	11716	290597	1270	Moderate return
