date	value	incidence	scenario	lower_ci	upper_ci
2020-12-10	795240	NA	Observed	NA	NA
2020-12-11	796475	1235	Observed	NA	NA
2020-12-12	797693	1218	Observed	NA	NA
2020-12-13	798888	1195	Observed	NA	NA
2020-12-14	800029	1141	Observed	NA	NA
2020-12-15	801161	1132	Observed	NA	NA
2020-12-16	802342	1181	Observed	NA	NA
2020-12-17	803516	1174	Observed	NA	NA
2020-12-18	804650	1134	Observed	NA	NA
2020-12-19	805777	1127	Observed	NA	NA
2020-12-20	806891	1114	Observed	NA	NA
2020-12-21	807962	1071	Observed	NA	NA
2020-12-22	809014	1052	Observed	NA	NA
2020-12-23	810080	1066	Observed	NA	NA
2020-12-24	811115	1035	Observed	NA	NA
2020-12-25	812142	1027	Observed	NA	NA
2020-12-26	813161	1019	Observed	NA	NA
2020-12-27	814170	1009	Observed	NA	NA
2020-12-28	815175	1005	Observed	NA	NA
2020-12-29	816132	957	Observed	NA	NA
2020-12-30	817077	945	Observed	NA	NA
2020-12-31	818014	937	Observed	NA	NA
2021-01-01	818935	921	Observed	NA	NA
2021-01-02	819845	910	Observed	NA	NA
2021-01-03	820712	867	Observed	NA	NA
2021-01-04	821550	838	Observed	NA	NA
2021-01-05	822370	820	Observed	NA	NA
2021-01-06	823181	811	Observed	NA	NA
2021-01-07	823986	805	Observed	NA	NA
2021-01-08	824776	790	Observed	NA	NA
2021-01-09	825537	761	Observed	NA	NA
2021-01-10	826261	724	Observed	NA	NA
2021-01-11	826943	682	Observed	NA	NA
2021-01-12	827614	671	Observed	NA	NA
2021-01-13	828287	673	Observed	NA	NA
2021-01-14	828952	665	Observed	NA	NA
2021-01-15	829573	621	Observed	NA	NA
2021-01-16	830183	610	Observed	NA	NA
2021-01-17	830772	589	Observed	NA	NA
2021-01-18	831323	551	Observed	NA	NA
2021-01-19	831866	543	Observed	NA	NA
2021-01-20	832415	549	Observed	NA	NA
2021-01-21	833011	596	Observed	NA	NA
2021-01-22	833585	574	Observed	NA	NA
2021-01-23	834171	586	Observed	NA	NA
2021-01-24	834250	NA	Soc. Dist. + Travel Ban	770471	901518
2021-01-25	834517	267	Soc. Dist. + Travel Ban	761090	912613
2021-01-26	834794	277	Soc. Dist. + Travel Ban	752969	922680
2021-01-27	835030	236	Soc. Dist. + Travel Ban	746309	930959
2021-01-28	835242	212	Soc. Dist. + Travel Ban	739074	939413
2021-01-29	835524	282	Soc. Dist. + Travel Ban	733349	946979
2021-01-30	835808	284	Soc. Dist. + Travel Ban	727630	954478
2021-01-31	836028	220	Soc. Dist. + Travel Ban	722477	961491
2021-02-01	836279	251	Soc. Dist. + Travel Ban	717444	968287
2021-02-02	836535	256	Soc. Dist. + Travel Ban	712839	974311
2021-02-03	836718	183	Soc. Dist. + Travel Ban	708372	980617
2021-02-04	836917	199	Soc. Dist. + Travel Ban	704184	986325
2021-02-05	837208	291	Soc. Dist. + Travel Ban	699965	992491
2021-02-06	837490	282	Soc. Dist. + Travel Ban	695705	997614
2021-02-07	837688	198	Soc. Dist. + Travel Ban	692075	1003355
2021-02-08	837924	236	Soc. Dist. + Travel Ban	688334	1008378
2021-02-09	838144	220	Soc. Dist. + Travel Ban	684615	1013448
2021-02-10	838370	226	Soc. Dist. + Travel Ban	681404	1018734
2021-02-11	838576	206	Soc. Dist. + Travel Ban	678332	1024242
