stat	value
thetaS_last_obs_p_mean	0.9930419
thetaI_last_obs_p_mean	8.148129e-05
thetaR_last_obs_p_mean	0.006876635
thetaS_last_obs_p_ci_low	0.9927139
thetaS_last_obs_p_ci_med	0.9930428
thetaS_last_obs_p_ci_up	0.993365
thetaI_last_obs_p_ci_low	4.964436e-05
thetaI_last_obs_p_ci_med	8.059383e-05
thetaI_last_obs_p_ci_up	0.0001185993
thetaR_last_obs_p_ci_low	0.006555923
thetaR_last_obs_p_ci_med	0.006875839
thetaR_last_obs_p_ci_up	0.007202142
R0_p_mean	1.54326
R0_p_ci_low	0.6809362
R0_p_ci_med	1.407165
R0_p_ci_up	3.167252
gamma_p_mean	0.04563465
gamma_p_ci_low	0.00628827
gamma_p_ci_med	0.0329309
gamma_p_ci_up	0.1617972
beta_p_mean	0.06147339
beta_p_ci_low	0.008823653
beta_p_ci_med	0.04947831
beta_p_ci_up	0.1848131
incidence_mean	0.03444409
incidence_ci_low	6.207603e-05
incidence_ci_median	0.0005880629
incidence_ci_up	0.4606777
thetaI_tp1_mean	0.00728
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.08565551
thetaR_tp1_mean	0.02048858
thetaR_tp1_ci_low	0.003443621
thetaR_tp1_ci_med	0.007873483
thetaR_tp1_ci_up	0.1596209
Y_tp1_mean	0.007279569
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.08561685
R_tp1_mean	0.02048802
R_tp1_ci_low	0.003424824
R_tp1_ci_med	0.007869308
R_tp1_ci_up	0.1596199
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03045146
thetaR_max_ci_low	0.003204239
thetaR_max_ci_med	0.008070075
thetaR_max_ci_up	0.320877
cumInf_mean	0.04081427
cumInf_ci_low	0.003221826
cumInf_ci_med	0.0082889
cumInf_ci_up	0.4629284
dthetaI_tp1_date	06/03/21
first_tp_mean	02/11/21
first_tp_ci_low	12/09/20
first_tp_ci_med	01/03/21
first_tp_ci_up	06/26/21
dthetaI_tp2_date	06/03/21
second_tp_mean	02/13/21
second_tp_ci_low	12/11/20
second_tp_ci_med	01/05/21
second_tp_ci_up	06/26/21
end_p_mean	04/20/21
end_p_ci_low	02/01/21
end_p_ci_med	04/07/21
end_p_ci_up	06/26/21
begin_str	12/09/2020
