stat	value
thetaS_last_obs_p_mean	0.9948342
thetaI_last_obs_p_mean	1.382693e-05
thetaR_last_obs_p_mean	0.005151949
thetaS_last_obs_p_ci_low	0.994542
thetaS_last_obs_p_ci_med	0.9948352
thetaS_last_obs_p_ci_up	0.9951191
thetaI_last_obs_p_ci_low	1.051084e-06
thetaI_last_obs_p_ci_med	1.042539e-05
thetaI_last_obs_p_ci_up	4.604038e-05
thetaR_last_obs_p_ci_low	0.004867293
thetaR_last_obs_p_ci_med	0.005150922
thetaR_last_obs_p_ci_up	0.00544241
R0_p_mean	1.516047
R0_p_ci_low	0.603908
R0_p_ci_med	1.36726
R0_p_ci_up	3.278402
gamma_p_mean	0.05887804
gamma_p_ci_low	0.006673041
gamma_p_ci_med	0.03862089
gamma_p_ci_up	0.2390534
beta_p_mean	0.07518215
beta_p_ci_low	0.009108589
beta_p_ci_med	0.05596039
beta_p_ci_up	0.2530339
incidence_mean	0.01755683
incidence_ci_low	1.223653e-05
incidence_ci_median	9.076203e-05
incidence_ci_up	0.2395499
thetaI_tp1_mean	0.001359734
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.004572652
thetaR_tp1_mean	0.007512545
thetaR_tp1_ci_low	0.002385992
thetaR_tp1_ci_med	0.005159944
thetaR_tp1_ci_up	0.01143313
Y_tp1_mean	0.001358095
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.004598437
R_tp1_mean	0.007513404
R_tp1_ci_low	0.002373104
R_tp1_ci_med	0.005161444
R_tp1_ci_up	0.01143319
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01883719
thetaR_max_ci_low	0.001609944
thetaR_max_ci_med	0.005161832
thetaR_max_ci_up	0.1443099
cumInf_mean	0.02252314
cumInf_ci_low	0.001611105
cumInf_ci_med	0.005176645
cumInf_ci_up	0.2394449
dthetaI_tp1_date	03/20/21
first_tp_mean	12/13/20
first_tp_ci_low	11/11/20
first_tp_ci_med	12/06/20
first_tp_ci_up	05/29/21
dthetaI_tp2_date	03/20/21
second_tp_mean	12/15/20
second_tp_ci_low	11/13/20
second_tp_ci_med	12/07/20
second_tp_ci_up	05/29/21
end_p_mean	01/19/21
end_p_ci_low	12/27/20
end_p_ci_med	01/02/21
end_p_ci_up	05/29/21
begin_str	11/11/2020
