Dates	variable	value	upper_ci	color	type
2020-03-15	True	NA	NA	Observed	solid
2020-03-16	True	3	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	1	NA	Observed	solid
2020-03-20	True	12	NA	Observed	solid
2020-03-21	True	12	NA	Observed	solid
2020-03-22	True	15	NA	Observed	solid
2020-03-23	True	28	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	14	NA	Observed	solid
2020-03-25	True	9	NA	Observed	solid
2020-03-26	True	19	NA	Observed	solid
2020-03-27	True	39	NA	Observed	solid
2020-03-28	True	6	NA	Observed	solid
2020-03-29	True	20	NA	Observed	solid
2020-03-30	True	32	NA	Observed	solid
2020-03-31	True	7	NA	Observed	solid
2020-04-01	True	24	NA	Observed	solid
2020-04-02	True	21	NA	Observed	solid
2020-04-03	True	9	NA	Observed	solid
2020-04-04	True	11	NA	Observed	solid
2020-04-05	True	8	NA	Observed	solid
2020-04-06	True	13	NA	Observed	solid
2020-04-07	True	8	NA	Observed	solid
2020-04-08	True	9	NA	Observed	solid
2020-04-09	True	12	NA	Observed	solid
2020-04-10	True	7	NA	Observed	solid
2020-04-11	True	10	NA	Observed	solid
2020-04-12	True	2	NA	Observed	solid
2020-04-13	True	3	NA	Observed	solid
2020-04-14	True	8	NA	Observed	solid
2020-04-15	True	1	NA	Observed	solid
2020-04-16	True	7	NA	Observed	solid
2020-04-17	True	1	NA	Observed	solid
2020-04-18	True	4	NA	Observed	solid
2020-04-19	True	2	NA	Observed	solid
2020-04-20	True	6	NA	Observed	solid
2020-04-21	True	19	NA	Observed	solid
2020-04-22	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-04-22	mod_3	NA	NA	No Intervention	solid
2020-04-22	mod_4	NA	NA	Moderate return	solid
2020-04-22	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-04-22	mod_6	NA	NA	Cautious return	solid
2020-04-23	mod_2	42	317	Soc. Dist. + Travel Ban	solid
2020-04-23	mod_3	57	371	No Intervention	solid
2020-04-23	mod_4	21	252	Moderate return	solid
2020-04-23	mod_5	20	225	Normal (pre-intervention)	solid
2020-04-23	mod_6	21	249	Cautious return	solid
2020-04-24	mod_2	46	351	Soc. Dist. + Travel Ban	solid
2020-04-24	mod_3	67	443	No Intervention	solid
2020-04-24	mod_4	21	216	Moderate return	solid
2020-04-24	mod_5	22	226	Normal (pre-intervention)	solid
2020-04-24	mod_6	21	217	Cautious return	solid
2020-04-25	mod_2	52	385	Soc. Dist. + Travel Ban	solid
2020-04-25	mod_3	82	521	No Intervention	solid
2020-04-25	mod_4	21	238	Moderate return	solid
2020-04-25	mod_5	21	225	Normal (pre-intervention)	solid
2020-04-25	mod_6	23	235	Cautious return	solid
2020-04-26	mod_2	62	424	Soc. Dist. + Travel Ban	solid
2020-04-26	mod_3	100	647	No Intervention	solid
2020-04-26	mod_4	22	218	Moderate return	solid
2020-04-26	mod_5	22	235	Normal (pre-intervention)	solid
2020-04-26	mod_6	22	223	Cautious return	solid
2020-04-27	mod_2	70	555	Soc. Dist. + Travel Ban	solid
2020-04-27	mod_3	123	862	No Intervention	solid
2020-04-27	mod_4	21	226	Moderate return	solid
2020-04-27	mod_5	21	219	Normal (pre-intervention)	solid
2020-04-27	mod_6	22	236	Cautious return	solid
2020-04-28	mod_2	82	594	Soc. Dist. + Travel Ban	solid
2020-04-28	mod_3	153	1090	No Intervention	solid
2020-04-28	mod_4	22	238	Moderate return	solid
2020-04-28	mod_5	23	213	Normal (pre-intervention)	solid
2020-04-28	mod_6	23	225	Cautious return	solid
2020-04-29	mod_2	93	746	Soc. Dist. + Travel Ban	solid
2020-04-29	mod_3	193	1407	No Intervention	solid
2020-04-29	mod_4	23	220	Moderate return	solid
2020-04-29	mod_5	21	234	Normal (pre-intervention)	solid
2020-04-29	mod_6	23	257	Cautious return	solid
2020-04-30	mod_2	110	884	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	246	1829	No Intervention	solid
2020-04-30	mod_4	23	253	Moderate return	solid
