stat	value
thetaS_last_obs_p_mean	0.9878328
thetaI_last_obs_p_mean	0.000120323
thetaR_last_obs_p_mean	0.01204684
thetaS_last_obs_p_ci_low	0.987398
thetaS_last_obs_p_ci_med	0.9878328
thetaS_last_obs_p_ci_up	0.9882635
thetaI_last_obs_p_ci_low	7.992096e-05
thetaI_last_obs_p_ci_med	0.0001194901
thetaI_last_obs_p_ci_up	0.0001658073
thetaR_last_obs_p_ci_low	0.01161761
thetaR_last_obs_p_ci_med	0.01204685
thetaR_last_obs_p_ci_up	0.01247965
R0_p_mean	1.214927
R0_p_ci_low	0.5729904
R0_p_ci_med	1.095533
R0_p_ci_up	2.511613
gamma_p_mean	0.0524001
gamma_p_ci_low	0.005983826
gamma_p_ci_med	0.03633585
gamma_p_ci_up	0.1899766
beta_p_mean	0.05489855
beta_p_ci_low	0.007716367
beta_p_ci_med	0.04150488
beta_p_ci_up	0.1821162
incidence_mean	0.006043784
incidence_ci_low	0.0001120588
incidence_ci_median	0.0008394528
incidence_ci_up	0.04374065
thetaI_tp1_mean	0.001745758
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01428431
thetaR_tp1_mean	0.01588186
thetaR_tp1_ci_low	0.006783861
thetaR_tp1_ci_med	0.01289772
thetaR_tp1_ci_up	0.04046693
Y_tp1_mean	0.001746022
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01430513
R_tp1_mean	0.0158827
R_tp1_ci_low	0.00676746
R_tp1_ci_med	0.01289973
R_tp1_ci_up	0.04042796
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01588186
thetaR_max_ci_low	0.006783861
thetaR_max_ci_med	0.01289772
thetaR_max_ci_up	0.04046693
cumInf_mean	0.01762761
cumInf_ci_low	0.006830411
cumInf_ci_med	0.0130773
cumInf_ci_up	0.05521251
dthetaI_tp1_date	07/23/21
first_tp_mean	02/15/21
first_tp_ci_low	01/05/21
first_tp_ci_med	02/02/21
first_tp_ci_up	07/23/21
dthetaI_tp2_date	07/23/21
second_tp_mean	02/18/21
second_tp_ci_low	01/07/21
second_tp_ci_med	02/03/21
second_tp_ci_up	07/23/21
end_p_mean	05/14/21
end_p_ci_low	03/03/21
end_p_ci_med	04/29/21
end_p_ci_up	07/23/21
begin_str	01/05/2021
