Dates	variable	value	upper_ci	color	type
2020-03-15	True	NA	NA	Observed	solid
2020-03-16	True	0	NA	Observed	solid
2020-03-17	True	0	NA	Observed	solid
2020-03-18	True	0	NA	Observed	solid
2020-03-19	True	1	NA	Observed	solid
2020-03-20	True	4	NA	Observed	solid
2020-03-21	True	0	NA	Observed	solid
2020-03-22	True	1	NA	Observed	solid
2020-03-23	True	1	NA	Observed	solid
2020-03-23	mod_2	499	NA	Soc. Dist. + Travel Ban	solid
2020-03-23	mod_2_up	499	NA	NA	solid
2020-03-23	mod_3	499	NA	No Intervention	solid
2020-03-23	mod_3_up	499	NA	NA	solid
2020-03-23	mod_4	499	NA	Moderate return	solid
2020-03-23	mod_4_up	499	NA	NA	solid
2020-03-23	mod_5	499	NA	Normal (pre-intervention)	solid
2020-03-23	mod_5_up	499	NA	NA	solid
2020-03-23	mod_6	499	NA	Cautious return	solid
2020-03-23	mod_6_up	499	NA	NA	solid
2020-03-24	True	0	NA	Observed	solid
2020-03-25	True	0	NA	Observed	solid
2020-03-26	True	0	NA	Observed	solid
2020-03-27	True	1	NA	Observed	solid
2020-03-28	True	0	NA	Observed	solid
2020-03-29	True	0	NA	Observed	solid
2020-03-30	True	5	NA	Observed	solid
2020-03-31	True	2	NA	Observed	solid
2020-04-01	True	2	NA	Observed	solid
2020-04-02	True	1	NA	Observed	solid
2020-04-03	True	0	NA	Observed	solid
2020-04-04	True	0	NA	Observed	solid
2020-04-05	True	0	NA	Observed	solid
2020-04-06	True	0	NA	Observed	solid
2020-04-07	True	0	NA	Observed	solid
2020-04-08	True	0	NA	Observed	solid
2020-04-09	True	0	NA	Observed	solid
2020-04-10	True	1	NA	Observed	solid
2020-04-11	True	0	NA	Observed	solid
2020-04-12	True	2	NA	Observed	solid
2020-04-13	True	0	NA	Observed	solid
2020-04-14	True	0	NA	Observed	solid
2020-04-15	True	0	NA	Observed	solid
2020-04-16	True	0	NA	Observed	solid
2020-04-17	True	0	NA	Observed	solid
2020-04-18	True	2	NA	Observed	solid
2020-04-19	True	3	NA	Observed	solid
2020-04-20	True	0	NA	Observed	solid
2020-04-21	True	1	NA	Observed	solid
2020-04-22	True	0	NA	Observed	solid
2020-04-23	True	0	NA	Observed	solid
2020-04-24	True	0	NA	Observed	solid
2020-04-25	True	1	NA	Observed	solid
2020-04-26	True	8	NA	Observed	solid
2020-04-27	True	9	NA	Observed	solid
2020-04-28	True	11	NA	Observed	solid
2020-04-29	True	12	NA	Observed	solid
2020-04-30	True	6	NA	Observed	solid
2020-05-01	True	14	NA	Observed	solid
2020-05-02	True	6	NA	Observed	solid
2020-05-03	True	3	NA	Observed	solid
2020-05-04	True	5	NA	Observed	solid
2020-05-05	True	17	NA	Observed	solid
2020-05-06	True	5	NA	Observed	solid
2020-05-07	True	11	NA	Observed	solid
2020-05-08	True	11	NA	Observed	solid
2020-05-09	True	23	NA	Observed	solid
2020-05-10	True	4	NA	Observed	solid
2020-05-11	True	8	NA	Observed	solid
2020-05-12	True	6	NA	Observed	solid
2020-05-13	True	4	NA	Observed	solid
2020-05-14	True	0	NA	Observed	solid
2020-05-15	True	0	NA	Observed	solid
2020-05-16	True	0	NA	Observed	solid
2020-05-17	True	0	NA	Observed	solid
2020-05-18	mod_2	NA	NA	Soc. Dist. + Travel Ban	solid
2020-05-18	mod_3	NA	NA	No Intervention	solid
2020-05-18	mod_4	NA	NA	Moderate return	solid
2020-05-18	mod_5	NA	NA	Normal (pre-intervention)	solid
2020-05-18	mod_6	NA	NA	Cautious return	solid
2020-05-19	mod_2	3	12	Soc. Dist. + Travel Ban	solid
2020-05-19	mod_3	4	14	No Intervention	solid
2020-05-19	mod_4	2	10	Moderate return	solid
2020-05-19	mod_5	3	11	Normal (pre-intervention)	solid
2020-05-19	mod_6	2	10	Cautious return	solid
2020-05-20	mod_2	3	12	Soc. Dist. + Travel Ban	solid
2020-05-20	mod_3	4	14	No Intervention	solid
2020-05-20	mod_4	2	10	Moderate return	solid
2020-05-20	mod_5	2	11	Normal (pre-intervention)	solid
2020-05-20	mod_6	2	9	Cautious return	solid
2020-05-21	mod_2	3	12	Soc. Dist. + Travel Ban	solid
2020-05-21	mod_3	5	16	No Intervention	solid
2020-05-21	mod_4	2	10	Moderate return	solid
2020-05-21	mod_5	3	11	Normal (pre-intervention)	solid
2020-05-21	mod_6	2	10	Cautious return	solid
2020-05-22	mod_2	3	13	Soc. Dist. + Travel Ban	solid
2020-05-22	mod_3	4	16	No Intervention	solid
2020-05-22	mod_4	2	11	Moderate return	solid
2020-05-22	mod_5	2	12	Normal (pre-intervention)	solid
2020-05-22	mod_6	1	9	Cautious return	solid
2020-05-23	mod_2	3	13	Soc. Dist. + Travel Ban	solid
2020-05-23	mod_3	5	19	No Intervention	solid
2020-05-23	mod_4	3	10	Moderate return	solid
2020-05-23	mod_5	4	12	Normal (pre-intervention)	solid
2020-05-23	mod_6	2	9	Cautious return	solid
2020-05-24	mod_2	4	13	Soc. Dist. + Travel Ban	solid
2020-05-24	mod_3	6	19	No Intervention	solid
2020-05-24	mod_4	2	11	Moderate return	solid
2020-05-24	mod_5	3	14	Normal (pre-intervention)	solid
2020-05-24	mod_6	2	10	Cautious return	solid
2020-05-25	mod_2	3	14	Soc. Dist. + Travel Ban	solid
2020-05-25	mod_3	5	22	No Intervention	solid
2020-05-25	mod_4	3	11	Moderate return	solid
2020-05-25	mod_5	4	14	Normal (pre-intervention)	solid
2020-05-25	mod_6	2	9	Cautious return	solid
2020-05-26	mod_2	4	15	Soc. Dist. + Travel Ban	solid
2020-05-26	mod_3	7	24	No Intervention	solid
2020-05-26	mod_4	3	12	Moderate return	solid
2020-05-26	mod_5	3	15	Normal (pre-intervention)	solid
2020-05-26	mod_6	2	10	Cautious return	solid
2020-05-27	mod_2	4	16	Soc. Dist. + Travel Ban	solid
2020-05-27	mod_3	6	28	No Intervention	solid
2020-05-27	mod_4	2	12	Moderate return	solid
2020-05-27	mod_5	5	17	Normal (pre-intervention)	solid
2020-05-27	mod_6	3	10	Cautious return	solid
2020-05-28	mod_2	4	15	Soc. Dist. + Travel Ban	solid
2020-05-28	mod_3	8	30	No Intervention	solid
2020-05-28	mod_4	3	12	Moderate return	solid
2020-05-28	mod_5	4	19	Normal (pre-intervention)	solid
2020-05-28	mod_6	2	10	Cautious return	solid
2020-05-29	mod_2	4	18	Soc. Dist. + Travel Ban	solid
2020-05-29	mod_3	7	33	No Intervention	solid
2020-05-29	mod_4	3	13	Moderate return	solid
2020-05-29	mod_5	5	21	Normal (pre-intervention)	solid
2020-05-29	mod_6	2	11	Cautious return	solid
