Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,j,text
2020-03-01,True,3,NA,Observed,solid,Mar  1,3,"NA",FALSE,Mar  1: 3 observed cases
2020-03-02,True,5,NA,Observed,solid,Mar  2,5,"NA",FALSE,Mar  2: 5 observed cases
2020-03-03,True,5,NA,Observed,solid,Mar  3,5,"NA",FALSE,Mar  3: 5 observed cases
2020-03-04,True,28,NA,Observed,solid,Mar  4,28,"NA",FALSE,Mar  4: 28 observed cases
2020-03-05,True,30,NA,Observed,solid,Mar  5,30,"NA",FALSE,Mar  5: 30 observed cases
2020-03-06,True,31,NA,Observed,solid,Mar  6,31,"NA",FALSE,Mar  6: 31 observed cases
2020-03-07,True,34,NA,Observed,solid,Mar  7,34,"NA",FALSE,Mar  7: 34 observed cases
2020-03-08,True,39,NA,Observed,solid,Mar  8,39,"NA",FALSE,Mar  8: 39 observed cases
2020-03-09,True,43,NA,Observed,solid,Mar  9,43,"NA",FALSE,Mar  9: 43 observed cases
2020-03-10,True,56,NA,Observed,solid,Mar 10,56,"NA",FALSE,Mar 10: 56 observed cases
2020-03-11,True,62,NA,Observed,solid,Mar 11,62,"NA",FALSE,Mar 11: 62 observed cases
2020-03-12,True,73,NA,Observed,solid,Mar 12,73,"NA",FALSE,Mar 12: 73 observed cases
2020-03-13,True,82,NA,Observed,solid,Mar 13,82,"NA",FALSE,Mar 13: 82 observed cases
2020-03-14,True,102,NA,Observed,solid,Mar 14,102,"NA",FALSE,Mar 14: 102 observed cases
2020-03-15,True,113,NA,Observed,solid,Mar 15,113,"NA",FALSE,Mar 15: 113 observed cases
2020-03-16,True,119,NA,Observed,solid,Mar 16,119,"NA",FALSE,Mar 16: 119 observed cases
2020-03-17,True,142,NA,Observed,solid,Mar 17,142,"NA",FALSE,Mar 17: 142 observed cases
2020-03-18,True,156,NA,Observed,solid,Mar 18,156,"NA",FALSE,Mar 18: 156 observed cases
2020-03-19,True,194,NA,Observed,solid,Mar 19,194,"NA",FALSE,Mar 19: 194 observed cases
2020-03-20,True,244,NA,Observed,solid,Mar 20,244,"NA",FALSE,Mar 20: 244 observed cases
2020-03-21,True,330,NA,Observed,solid,Mar 21,330,"NA",FALSE,Mar 21: 330 observed cases
2020-03-22,True,396,NA,Observed,solid,Mar 22,396,"NA",FALSE,Mar 22: 396 observed cases
2020-03-23,True,499,NA,Observed,solid,Mar 23,499,"NA",FALSE,Mar 23: 499 observed cases
2020-03-24,True,536,NA,Observed,solid,Mar 24,536,"NA",FALSE,Mar 24: 536 observed cases
2020-03-25,True,657,NA,Observed,solid,Mar 25,657,"NA",FALSE,Mar 25: 657 observed cases
2020-03-26,True,727,NA,Observed,solid,Mar 26,727,"NA",FALSE,Mar 26: 727 observed cases
2020-03-27,True,887,NA,Observed,solid,Mar 27,887,"NA",FALSE,Mar 27: 887 observed cases
2020-03-28,True,987,NA,Observed,solid,Mar 28,987,"NA",FALSE,Mar 28: 987 observed cases
2020-03-29,True,1024,NA,Observed,solid,Mar 29,"1,024","NA",FALSE,"Mar 29: 1,024 observed cases"
2020-03-30,True,1251,NA,Observed,solid,Mar 30,"1,251","NA",FALSE,"Mar 30: 1,251 observed cases"
2020-03-31,True,1397,NA,Observed,solid,Mar 31,"1,397","NA",FALSE,"Mar 31: 1,397 observed cases"
2020-04-01,True,1998,NA,Observed,solid,Apr  1,"1,998","NA",FALSE,"Apr  1: 1,998 observed cases"
2020-04-02,True,2543,NA,Observed,solid,Apr  2,"2,543","NA",FALSE,"Apr  2: 2,543 observed cases"
2020-04-03,True,2567,NA,Observed,solid,Apr  3,"2,567","NA",FALSE,"Apr  3: 2,567 observed cases"
2020-04-04,True,3082,NA,Observed,solid,Apr  4,"3,082","NA",FALSE,"Apr  4: 3,082 observed cases"
2020-04-05,True,3588,NA,Observed,solid,Apr  5,"3,588","NA",FALSE,"Apr  5: 3,588 observed cases"
2020-04-06,True,4778,NA,Observed,solid,Apr  6,"4,778","NA",FALSE,"Apr  6: 4,778 observed cases"
2020-04-07,mod_2,3503,25308,Social distancing,solid,Apr  7,"3,503","25,308",FALSE,"Apr  7: 3,503 projected cases<br>Projection upper CI: 25,308 cases<br>"
2020-04-07,mod_3,3636,25962,No intervention,solid,Apr  7,"3,636","25,962",FALSE,"Apr  7: 3,636 projected cases<br>Projection upper CI: 25,962 cases<br>"
2020-04-07,mod_4,3502,25183,Lockdown with moderate return,solid,Apr  7,"3,502","25,183",TRUE,"Apr  7: 3,502 projected cases<br>Projection upper CI: 25,183 cases<br>"
2020-04-08,mod_2,3829,27067,Social distancing,solid,Apr  8,"3,829","27,067",FALSE,"Apr  8: 3,829 projected cases<br>Projection upper CI: 27,067 cases<br>"
2020-04-08,mod_3,4094,28462,No intervention,solid,Apr  8,"4,094","28,462",FALSE,"Apr  8: 4,094 projected cases<br>Projection upper CI: 28,462 cases<br>"
2020-04-08,mod_4,3829,27232,Lockdown with moderate return,solid,Apr  8,"3,829","27,232",TRUE,"Apr  8: 3,829 projected cases<br>Projection upper CI: 27,232 cases<br>"
2020-04-09,mod_2,4171,29339,Social distancing,solid,Apr  9,"4,171","29,339",FALSE,"Apr  9: 4,171 projected cases<br>Projection upper CI: 29,339 cases<br>"
2020-04-09,mod_3,4613,30929,No intervention,solid,Apr  9,"4,613","30,929",FALSE,"Apr  9: 4,613 projected cases<br>Projection upper CI: 30,929 cases<br>"
2020-04-09,mod_4,4167,29316,Lockdown with moderate return,solid,Apr  9,"4,167","29,316",TRUE,"Apr  9: 4,167 projected cases<br>Projection upper CI: 29,316 cases<br>"
2020-04-10,mod_2,4537,31679,Social distancing,solid,Apr 10,"4,537","31,679",FALSE,"Apr 10: 4,537 projected cases<br>Projection upper CI: 31,679 cases<br>"
2020-04-10,mod_3,5211,34384,No intervention,solid,Apr 10,"5,211","34,384",FALSE,"Apr 10: 5,211 projected cases<br>Projection upper CI: 34,384 cases<br>"
2020-04-10,mod_4,4497,31219,Lockdown with moderate return,solid,Apr 10,"4,497","31,219",TRUE,"Apr 10: 4,497 projected cases<br>Projection upper CI: 31,219 cases<br>"
2020-04-11,mod_2,4935,33979,Social distancing,solid,Apr 11,"4,935","33,979",FALSE,"Apr 11: 4,935 projected cases<br>Projection upper CI: 33,979 cases<br>"
2020-04-11,mod_3,5902,38454,No intervention,solid,Apr 11,"5,902","38,454",FALSE,"Apr 11: 5,902 projected cases<br>Projection upper CI: 38,454 cases<br>"
2020-04-11,mod_4,4824,33431,Lockdown with moderate return,solid,Apr 11,"4,824","33,431",TRUE,"Apr 11: 4,824 projected cases<br>Projection upper CI: 33,431 cases<br>"
2020-04-12,mod_2,5363,36967,Social distancing,solid,Apr 12,"5,363","36,967",FALSE,"Apr 12: 5,363 projected cases<br>Projection upper CI: 36,967 cases<br>"
2020-04-12,mod_3,6719,43342,No intervention,solid,Apr 12,"6,719","43,342",FALSE,"Apr 12: 6,719 projected cases<br>Projection upper CI: 43,342 cases<br>"
2020-04-12,mod_4,5136,35682,Lockdown with moderate return,solid,Apr 12,"5,136","35,682",TRUE,"Apr 12: 5,136 projected cases<br>Projection upper CI: 35,682 cases<br>"
2020-04-13,mod_2,5831,40260,Social distancing,solid,Apr 13,"5,831","40,260",FALSE,"Apr 13: 5,831 projected cases<br>Projection upper CI: 40,260 cases<br>"
2020-04-13,mod_3,7697,49485,No intervention,solid,Apr 13,"7,697","49,485",FALSE,"Apr 13: 7,697 projected cases<br>Projection upper CI: 49,485 cases<br>"
2020-04-13,mod_4,5434,37386,Lockdown with moderate return,solid,Apr 13,"5,434","37,386",TRUE,"Apr 13: 5,434 projected cases<br>Projection upper CI: 37,386 cases<br>"
