stat	value
thetaS_last_obs_p_mean	0.959014
thetaI_last_obs_p_mean	0.006042804
thetaR_last_obs_p_mean	0.03494321
thetaS_last_obs_p_ci_low	0.9581586
thetaS_last_obs_p_ci_med	0.9590137
thetaS_last_obs_p_ci_up	0.9598637
thetaI_last_obs_p_ci_low	0.005711826
thetaI_last_obs_p_ci_med	0.00603982
thetaI_last_obs_p_ci_up	0.006390329
thetaR_last_obs_p_ci_low	0.03416178
thetaR_last_obs_p_ci_med	0.03494243
thetaR_last_obs_p_ci_up	0.03572462
R0_p_mean	1.386305
R0_p_ci_low	1.189993
R0_p_ci_med	1.370248
R0_p_ci_up	1.676434
gamma_p_mean	0.075984
gamma_p_ci_low	0.04581136
gamma_p_ci_med	0.07608044
gamma_p_ci_up	0.1056258
beta_p_mean	0.1041278
beta_p_ci_low	0.07031938
beta_p_ci_med	0.104258
beta_p_ci_up	0.1370995
incidence_mean	0.04145213
incidence_ci_low	0.02789957
incidence_ci_median	0.04023586
incidence_ci_up	0.0626114
thetaI_tp1_mean	0.004433688
thetaI_tp1_ci_low	0.004192788
thetaI_tp1_ci_med	0.004433121
thetaI_tp1_ci_up	0.004678271
thetaR_tp1_mean	0.02378147
thetaR_tp1_ci_low	0.0232359
thetaR_tp1_ci_med	0.02377959
thetaR_tp1_ci_up	0.02433212
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.05372696
R_tp1_ci_low	0.03637662
R_tp1_ci_med	0.05303042
R_tp1_ci_up	0.07636048
thetaI_tp2_mean	0.006180659
thetaI_tp2_ci_low	0.005898797
thetaI_tp2_ci_med	0.006180544
thetaI_tp2_ci_up	0.0064657
thetaR_tp2_mean	0.03142894
thetaR_tp2_ci_low	0.03080826
thetaR_tp2_ci_med	0.03142743
thetaR_tp2_ci_up	0.03205626
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.06241483
thetaR_max_ci_low	0.0429497
thetaR_max_ci_med	0.06140292
thetaR_max_ci_up	0.08792467
cumInf_mean	0.06324094
cumInf_ci_low	0.04316992
cumInf_ci_med	0.06198464
cumInf_ci_up	0.09107428
dthetaI_tp1_date	04/07/21
first_tp_mean	04/07/21
first_tp_ci_low	03/25/21
first_tp_ci_med	04/07/21
first_tp_ci_up	04/18/21
dthetaI_tp2_date	04/24/21
second_tp_mean	04/17/21
second_tp_ci_low	04/02/21
second_tp_ci_med	04/19/21
second_tp_ci_up	04/24/21
end_p_mean	09/28/21
end_p_ci_low	08/20/21
end_p_ci_med	10/02/21
end_p_ci_up	10/02/21
begin_str	03/17/2021
