stat	value
thetaS_last_obs_p_mean	0.9974628
thetaI_last_obs_p_mean	0.0003620754
thetaR_last_obs_p_mean	0.002175103
thetaS_last_obs_p_ci_low	0.9972608
thetaS_last_obs_p_ci_med	0.9974633
thetaS_last_obs_p_ci_up	0.9976617
thetaI_last_obs_p_ci_low	0.000288074
thetaI_last_obs_p_ci_med	0.0003611493
thetaI_last_obs_p_ci_up	0.0004411398
thetaR_last_obs_p_ci_low	0.001991765
thetaR_last_obs_p_ci_med	0.002174414
thetaR_last_obs_p_ci_up	0.002362954
R0_p_mean	1.211537
R0_p_ci_low	0.7636077
R0_p_ci_med	1.165668
R0_p_ci_up	1.952738
gamma_p_mean	0.07659125
gamma_p_ci_low	0.01985861
gamma_p_ci_med	0.0757797
gamma_p_ci_up	0.1403411
beta_p_mean	0.0890526
beta_p_ci_low	0.02630258
beta_p_ci_med	0.08794662
beta_p_ci_up	0.1594151
incidence_mean	0.002715075
incidence_ci_low	0.0007415922
incidence_ci_median	0.002341715
incidence_ci_up	0.007166229
thetaI_tp1_mean	0.0004142107
thetaI_tp1_ci_low	0.0003472687
thetaI_tp1_ci_med	0.0004136061
thetaI_tp1_ci_up	0.0004844541
thetaR_tp1_mean	0.0008407076
thetaR_tp1_ci_low	0.000745854
thetaR_tp1_ci_med	0.0008399846
thetaR_tp1_ci_up	0.0009397341
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.003126432
R_tp1_ci_low	0.0009605506
R_tp1_ci_med	0.002824906
R_tp1_ci_up	0.00682563
thetaI_tp2_mean	0.0004665977
thetaI_tp2_ci_low	0.0003967769
thetaI_tp2_ci_med	0.0004659166
thetaI_tp2_ci_up	0.0005403735
thetaR_tp2_mean	0.001294154
thetaR_tp2_ci_low	0.001176358
thetaR_tp2_ci_med	0.001293569
thetaR_tp2_ci_up	0.001415917
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.00359543
thetaR_max_ci_low	0.0005196358
thetaR_max_ci_med	0.003160931
thetaR_max_ci_up	0.009177493
cumInf_mean	0.003706372
cumInf_ci_low	0.000521848
cumInf_ci_med	0.003193372
cumInf_ci_up	0.009845712
dthetaI_tp1_date	08/31/20
first_tp_mean	08/31/20
first_tp_ci_low	08/18/20
first_tp_ci_med	08/31/20
first_tp_ci_up	09/19/20
dthetaI_tp2_date	09/10/20
second_tp_mean	09/02/20
second_tp_ci_low	08/20/20
second_tp_ci_med	09/02/20
second_tp_ci_up	09/20/20
end_p_mean	12/25/20
end_p_ci_low	10/26/20
end_p_ci_med	12/15/20
end_p_ci_up	03/04/21
begin_str	08/17/2020
