stat	value
thetaS_last_obs_p_mean	0.9969799
thetaI_last_obs_p_mean	1.790833e-05
thetaR_last_obs_p_mean	0.003002175
thetaS_last_obs_p_ci_low	0.996765
thetaS_last_obs_p_ci_med	0.9969807
thetaS_last_obs_p_ci_up	0.9971904
thetaI_last_obs_p_ci_low	5.151825e-06
thetaI_last_obs_p_ci_med	1.701985e-05
thetaI_last_obs_p_ci_up	3.563212e-05
thetaR_last_obs_p_ci_low	0.002792002
thetaR_last_obs_p_ci_med	0.003001464
thetaR_last_obs_p_ci_up	0.003215983
R0_p_mean	1.611429
R0_p_ci_low	0.6708382
R0_p_ci_med	1.465375
R0_p_ci_up	3.382536
gamma_p_mean	0.05133419
gamma_p_ci_low	0.006639759
gamma_p_ci_med	0.03627226
gamma_p_ci_up	0.1860756
beta_p_mean	0.07206661
beta_p_ci_low	0.009289427
beta_p_ci_med	0.05659316
beta_p_ci_up	0.2243106
incidence_mean	0.0008084825
incidence_ci_low	1.90261e-05
incidence_ci_median	0.0001231183
incidence_ci_up	0.001780123
thetaI_tp1_mean	0.0002496317
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.000472272
thetaR_tp1_mean	0.003439381
thetaR_tp1_ci_low	0.0005999732
thetaR_tp1_ci_med	0.002885592
thetaR_tp1_ci_up	0.007327391
Y_tp1_mean	0.0002494417
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.000472339
R_tp1_mean	0.003439593
R_tp1_ci_low	0.0005933891
R_tp1_ci_med	0.002882021
R_tp1_ci_up	0.007344597
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.003439381
thetaR_max_ci_low	0.0005999732
thetaR_max_ci_med	0.002885592
thetaR_max_ci_up	0.007327391
cumInf_mean	0.003689013
cumInf_ci_low	0.0006006131
cumInf_ci_med	0.002895489
cumInf_ci_up	0.00758562
dthetaI_tp1_date	07/20/21
first_tp_mean	01/21/21
first_tp_ci_low	01/02/21
first_tp_ci_med	01/15/21
first_tp_ci_up	02/15/21
dthetaI_tp2_date	07/20/21
second_tp_mean	01/23/21
second_tp_ci_low	01/04/21
second_tp_ci_med	01/16/21
second_tp_ci_up	03/04/21
end_p_mean	03/12/21
end_p_ci_low	02/18/21
end_p_ci_med	02/27/21
end_p_ci_up	07/20/21
begin_str	01/02/2021
