stat	value
thetaS_last_obs_p_mean	0.9996783
thetaI_last_obs_p_mean	0.0001000795
thetaR_last_obs_p_mean	0.000221628
thetaS_last_obs_p_ci_low	0.9996054
thetaS_last_obs_p_ci_med	0.9996792
thetaS_last_obs_p_ci_up	0.9997457
thetaI_last_obs_p_ci_low	6.392834e-05
thetaI_last_obs_p_ci_med	9.914155e-05
thetaI_last_obs_p_ci_up	0.0001418116
thetaR_last_obs_p_ci_low	0.0001662366
thetaR_last_obs_p_ci_med	0.0002207987
thetaR_last_obs_p_ci_up	0.0002819135
R0_p_mean	1.880539
R0_p_ci_low	0.8512144
R0_p_ci_med	1.740647
R0_p_ci_up	3.709476
gamma_p_mean	0.06534857
gamma_p_ci_low	0.01071064
gamma_p_ci_med	0.05548348
gamma_p_ci_up	0.1743601
beta_p_mean	0.1119711
beta_p_ci_low	0.0169785
beta_p_ci_med	0.1025564
beta_p_ci_up	0.2610546
incidence_mean	0.01734606
incidence_ci_low	6.694058e-05
incidence_ci_median	0.0005810934
incidence_ci_up	0.1991015
thetaI_tp1_mean	0.003808437
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.04060493
thetaR_tp1_mean	0.007853938
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0006186382
thetaR_tp1_ci_up	0.06749711
Y_tp1_mean	0.003808264
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.04065272
R_tp1_mean	0.007853755
R_tp1_ci_low	0
R_tp1_ci_med	0.0006188243
R_tp1_ci_up	0.06740908
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01217414
thetaR_max_ci_low	0
thetaR_max_ci_med	0.000627705
thetaR_max_ci_up	0.1247566
cumInf_mean	0.01725813
cumInf_ci_low	0
cumInf_ci_med	0.000656191
cumInf_ci_up	0.1966466
dthetaI_tp1_date	11/29/20
first_tp_mean	07/31/20
first_tp_ci_low	06/13/20
first_tp_ci_med	07/09/20
first_tp_ci_up	12/17/20
dthetaI_tp2_date	11/29/20
second_tp_mean	08/04/20
second_tp_ci_low	06/15/20
second_tp_ci_med	07/11/20
second_tp_ci_up	12/17/20
end_p_mean	10/07/20
end_p_ci_low	07/27/20
end_p_ci_med	09/19/20
end_p_ci_up	12/17/20
begin_str	06/01/2020
