Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,ci.fmt,j,text
2020-03-01,True,3,NA,Observed,solid,Mar  1,3,"NA",FALSE,Mar  1: 3 observed cases
2020-03-02,True,5,NA,Observed,solid,Mar  2,5,"NA",FALSE,Mar  2: 5 observed cases
2020-03-03,True,5,NA,Observed,solid,Mar  3,5,"NA",FALSE,Mar  3: 5 observed cases
2020-03-04,True,28,NA,Observed,solid,Mar  4,28,"NA",FALSE,Mar  4: 28 observed cases
2020-03-05,True,30,NA,Observed,solid,Mar  5,30,"NA",FALSE,Mar  5: 30 observed cases
2020-03-06,True,31,NA,Observed,solid,Mar  6,31,"NA",FALSE,Mar  6: 31 observed cases
2020-03-07,True,34,NA,Observed,solid,Mar  7,34,"NA",FALSE,Mar  7: 34 observed cases
2020-03-08,True,39,NA,Observed,solid,Mar  8,39,"NA",FALSE,Mar  8: 39 observed cases
2020-03-09,True,43,NA,Observed,solid,Mar  9,43,"NA",FALSE,Mar  9: 43 observed cases
2020-03-10,True,56,NA,Observed,solid,Mar 10,56,"NA",FALSE,Mar 10: 56 observed cases
2020-03-11,True,62,NA,Observed,solid,Mar 11,62,"NA",FALSE,Mar 11: 62 observed cases
2020-03-12,True,73,NA,Observed,solid,Mar 12,73,"NA",FALSE,Mar 12: 73 observed cases
2020-03-13,True,82,NA,Observed,solid,Mar 13,82,"NA",FALSE,Mar 13: 82 observed cases
2020-03-14,True,102,NA,Observed,solid,Mar 14,102,"NA",FALSE,Mar 14: 102 observed cases
2020-03-15,True,113,NA,Observed,solid,Mar 15,113,"NA",FALSE,Mar 15: 113 observed cases
2020-03-16,True,119,NA,Observed,solid,Mar 16,119,"NA",FALSE,Mar 16: 119 observed cases
2020-03-17,True,142,NA,Observed,solid,Mar 17,142,"NA",FALSE,Mar 17: 142 observed cases
2020-03-18,True,156,NA,Observed,solid,Mar 18,156,"NA",FALSE,Mar 18: 156 observed cases
2020-03-19,True,194,NA,Observed,solid,Mar 19,194,"NA",FALSE,Mar 19: 194 observed cases
2020-03-20,True,244,NA,Observed,solid,Mar 20,244,"NA",FALSE,Mar 20: 244 observed cases
2020-03-21,True,330,NA,Observed,solid,Mar 21,330,"NA",FALSE,Mar 21: 330 observed cases
2020-03-22,True,396,NA,Observed,solid,Mar 22,396,"NA",FALSE,Mar 22: 396 observed cases
2020-03-23,True,499,NA,Observed,solid,Mar 23,499,"NA",FALSE,Mar 23: 499 observed cases
2020-03-24,True,536,NA,Observed,solid,Mar 24,536,"NA",FALSE,Mar 24: 536 observed cases
2020-03-25,True,657,NA,Observed,solid,Mar 25,657,"NA",FALSE,Mar 25: 657 observed cases
2020-03-26,True,727,NA,Observed,solid,Mar 26,727,"NA",FALSE,Mar 26: 727 observed cases
2020-03-27,True,887,NA,Observed,solid,Mar 27,887,"NA",FALSE,Mar 27: 887 observed cases
2020-03-28,True,987,NA,Observed,solid,Mar 28,987,"NA",FALSE,Mar 28: 987 observed cases
2020-03-29,True,1024,NA,Observed,solid,Mar 29,"1,024","NA",FALSE,"Mar 29: 1,024 observed cases"
2020-03-30,True,1251,NA,Observed,solid,Mar 30,"1,251","NA",FALSE,"Mar 30: 1,251 observed cases"
2020-03-31,True,1397,NA,Observed,solid,Mar 31,"1,397","NA",FALSE,"Mar 31: 1,397 observed cases"
2020-04-01,True,1998,NA,Observed,solid,Apr  1,"1,998","NA",FALSE,"Apr  1: 1,998 observed cases"
2020-04-02,True,2543,NA,Observed,solid,Apr  2,"2,543","NA",FALSE,"Apr  2: 2,543 observed cases"
2020-04-03,True,2567,NA,Observed,solid,Apr  3,"2,567","NA",FALSE,"Apr  3: 2,567 observed cases"
2020-04-04,True,3082,NA,Observed,solid,Apr  4,"3,082","NA",FALSE,"Apr  4: 3,082 observed cases"
2020-04-05,True,3588,NA,Observed,solid,Apr  5,"3,588","NA",FALSE,"Apr  5: 3,588 observed cases"
2020-04-06,True,4778,NA,Observed,solid,Apr  6,"4,778","NA",FALSE,"Apr  6: 4,778 observed cases"
2020-04-07,mod_2,4531,30794,Social distancing,solid,Apr  7,"4,531","30,794",FALSE,"Apr  7: 4,531 projected cases<br>Projection upper CI: 30,794 cases<br>"
2020-04-07,mod_3,4823,31769,No intervention,solid,Apr  7,"4,823","31,769",FALSE,"Apr  7: 4,823 projected cases<br>Projection upper CI: 31,769 cases<br>"
2020-04-07,mod_4,4141,29639,Lockdown with moderate return,solid,Apr  7,"4,141","29,639",TRUE,"Apr  7: 4,141 projected cases<br>Projection upper CI: 29,639 cases<br>"
2020-04-08,mod_2,5090,34084,Social distancing,solid,Apr  8,"5,090","34,084",FALSE,"Apr  8: 5,090 projected cases<br>Projection upper CI: 34,084 cases<br>"
2020-04-08,mod_3,5704,35834,No intervention,solid,Apr  8,"5,704","35,834",FALSE,"Apr  8: 5,704 projected cases<br>Projection upper CI: 35,834 cases<br>"
2020-04-08,mod_4,4351,30957,Lockdown with moderate return,solid,Apr  8,"4,351","30,957",TRUE,"Apr  8: 4,351 projected cases<br>Projection upper CI: 30,957 cases<br>"
2020-04-09,mod_2,5725,37532,Social distancing,solid,Apr  9,"5,725","37,532",FALSE,"Apr  9: 5,725 projected cases<br>Projection upper CI: 37,532 cases<br>"
2020-04-09,mod_3,6789,42150,No intervention,solid,Apr  9,"6,789","42,150",FALSE,"Apr  9: 6,789 projected cases<br>Projection upper CI: 42,150 cases<br>"
2020-04-09,mod_4,4547,32842,Lockdown with moderate return,solid,Apr  9,"4,547","32,842",TRUE,"Apr  9: 4,547 projected cases<br>Projection upper CI: 32,842 cases<br>"
2020-04-10,mod_2,6445,41742,Social distancing,solid,Apr 10,"6,445","41,742",FALSE,"Apr 10: 6,445 projected cases<br>Projection upper CI: 41,742 cases<br>"
2020-04-10,mod_3,8155,48933,No intervention,solid,Apr 10,"8,155","48,933",FALSE,"Apr 10: 8,155 projected cases<br>Projection upper CI: 48,933 cases<br>"
2020-04-10,mod_4,4733,33725,Lockdown with moderate return,solid,Apr 10,"4,733","33,725",TRUE,"Apr 10: 4,733 projected cases<br>Projection upper CI: 33,725 cases<br>"
2020-04-11,mod_2,7272,46674,Social distancing,solid,Apr 11,"7,272","46,674",FALSE,"Apr 11: 7,272 projected cases<br>Projection upper CI: 46,674 cases<br>"
2020-04-11,mod_3,9899,59381,No intervention,solid,Apr 11,"9,899","59,381",FALSE,"Apr 11: 9,899 projected cases<br>Projection upper CI: 59,381 cases<br>"
2020-04-11,mod_4,4919,35405,Lockdown with moderate return,solid,Apr 11,"4,919","35,405",TRUE,"Apr 11: 4,919 projected cases<br>Projection upper CI: 35,405 cases<br>"
2020-04-12,mod_2,8227,52717,Social distancing,solid,Apr 12,"8,227","52,717",FALSE,"Apr 12: 8,227 projected cases<br>Projection upper CI: 52,717 cases<br>"
2020-04-12,mod_3,12180,72949,No intervention,solid,Apr 12,"12,180","72,949",FALSE,"Apr 12: 12,180 projected cases<br>Projection upper CI: 72,949 cases<br>"
2020-04-12,mod_4,5096,36883,Lockdown with moderate return,solid,Apr 12,"5,096","36,883",TRUE,"Apr 12: 5,096 projected cases<br>Projection upper CI: 36,883 cases<br>"
2020-04-13,mod_2,9341,59454,Social distancing,solid,Apr 13,"9,341","59,454",FALSE,"Apr 13: 9,341 projected cases<br>Projection upper CI: 59,454 cases<br>"
2020-04-13,mod_3,15204,91764,No intervention,solid,Apr 13,"15,204","91,764",FALSE,"Apr 13: 15,204 projected cases<br>Projection upper CI: 91,764 cases<br>"
2020-04-13,mod_4,5270,38326,Lockdown with moderate return,solid,Apr 13,"5,270","38,326",TRUE,"Apr 13: 5,270 projected cases<br>Projection upper CI: 38,326 cases<br>"
