date	value	lower_ci	upper_ci	incidence	scenario
2021-02-08	318193	280493	359317	NA	No intervention
2021-02-09	318299	275166	366079	106	No intervention
2021-02-10	318388	270533	371980	89	No intervention
2021-02-11	318474	266078	377703	86	No intervention
2021-02-12	318555	262381	382625	81	No intervention
2021-02-13	318696	258733	387583	141	No intervention
2021-02-14	318775	255377	392268	79	No intervention
2021-02-15	318881	252179	396545	106	No intervention
2021-02-16	318997	249310	400687	116	No intervention
2021-02-17	319127	246446	404628	130	No intervention
2021-02-18	319279	244159	408699	152	No intervention
2021-02-19	319360	241606	412424	81	No intervention
2021-02-20	319475	238756	416611	115	No intervention
2021-02-21	319589	236646	420168	114	No intervention
2021-02-22	319728	234443	423529	139	No intervention
2021-02-23	319817	231914	427003	89	No intervention
2021-02-24	319987	230062	431079	170	No intervention
2021-02-25	320125	227864	434047	138	No intervention
2021-02-26	320248	225765	437597	123	No intervention
2021-02-27	320364	223943	440893	116	No intervention
2021-02-28	320509	221651	444416	145	No intervention
2021-03-01	320692	220413	447369	183	No intervention
2021-03-02	320872	218073	450916	180	No intervention
2021-03-03	321043	216423	453568	171	No intervention
2021-03-04	321202	214390	456479	159	No intervention
2021-03-05	321360	213230	459677	158	No intervention
2021-03-06	321495	211323	463245	135	No intervention
2021-03-07	321701	209970	466133	206	No intervention
2021-03-08	321866	208468	469072	165	No intervention
2021-03-09	322026	206855	471603	160	No intervention
2021-03-10	322230	205195	475224	204	No intervention
2021-03-11	322426	203691	478902	196	No intervention
2021-03-12	322647	202274	481722	221	No intervention
2021-03-13	322862	200758	484878	215	No intervention
2021-03-14	323115	199875	487970	253	No intervention
2021-03-15	323368	198088	491325	253	No intervention
2021-03-16	323634	196741	494988	266	No intervention
2021-03-17	323877	195661	498386	243	No intervention
2021-03-18	324117	194071	501450	240	No intervention
2021-03-19	324370	192853	504224	253	No intervention
2021-03-20	324628	191689	508087	258	No intervention
2021-03-21	324895	190590	511735	267	No intervention
2021-03-22	325183	188948	514618	288	No intervention
2021-03-23	325486	187417	518451	303	No intervention
2021-03-24	325816	186600	521536	330	No intervention
2021-03-25	326144	185295	524832	328	No intervention
2021-03-26	326476	184106	528800	332	No intervention
2021-03-27	326876	183217	532677	400	No intervention
2021-03-28	327270	181675	535438	394	No intervention
