stat	value
thetaS_last_obs_p_mean	0.9974045
thetaI_last_obs_p_mean	0.0003498838
thetaR_last_obs_p_mean	0.002245601
thetaS_last_obs_p_ci_low	0.9971987
thetaS_last_obs_p_ci_med	0.9974054
thetaS_last_obs_p_ci_up	0.9976065
thetaI_last_obs_p_ci_low	0.0002781072
thetaI_last_obs_p_ci_med	0.0003488708
thetaI_last_obs_p_ci_up	0.0004277876
thetaR_last_obs_p_ci_low	0.002058542
thetaR_last_obs_p_ci_med	0.002244713
thetaR_last_obs_p_ci_up	0.002438075
R0_p_mean	1.193084
R0_p_ci_low	0.7500434
R0_p_ci_med	1.147287
R0_p_ci_up	1.93108
gamma_p_mean	0.07698069
gamma_p_ci_low	0.01940627
gamma_p_ci_med	0.07606577
gamma_p_ci_up	0.1413249
beta_p_mean	0.08812848
beta_p_ci_low	0.02556315
beta_p_ci_med	0.08693693
beta_p_ci_up	0.1590232
incidence_mean	0.002615251
incidence_ci_low	0.0007143053
incidence_ci_median	0.002282021
incidence_ci_up	0.006639185
thetaI_tp1_mean	0.0004144773
thetaI_tp1_ci_low	0.0003476464
thetaI_tp1_ci_med	0.0004138497
thetaI_tp1_ci_up	0.0004854344
thetaR_tp1_mean	0.0008411561
thetaR_tp1_ci_low	0.0007452767
thetaR_tp1_ci_med	0.0008406435
thetaR_tp1_ci_up	0.0009405509
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.003138932
R_tp1_ci_low	0.0009738811
R_tp1_ci_med	0.002853628
R_tp1_ci_up	0.006739863
thetaI_tp2_mean	0.0004665156
thetaI_tp2_ci_low	0.0003964011
thetaI_tp2_ci_med	0.0004659294
thetaI_tp2_ci_up	0.0005401354
thetaR_tp2_mean	0.001294317
thetaR_tp2_ci_low	0.001176291
thetaR_tp2_ci_med	0.00129358
thetaR_tp2_ci_up	0.001416331
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.003566106
thetaR_max_ci_low	0.0005394741
thetaR_max_ci_med	0.003155239
thetaR_max_ci_up	0.008919569
cumInf_mean	0.003667157
cumInf_ci_low	0.0005416373
cumInf_ci_med	0.003184333
cumInf_ci_up	0.009453642
dthetaI_tp1_date	08/31/20
first_tp_mean	08/31/20
first_tp_ci_low	08/20/20
first_tp_ci_med	08/31/20
first_tp_ci_up	09/19/20
dthetaI_tp2_date	09/10/20
second_tp_mean	09/03/20
second_tp_ci_low	08/23/20
second_tp_ci_med	09/03/20
second_tp_ci_up	09/20/20
end_p_mean	12/25/20
end_p_ci_low	10/27/20
end_p_ci_med	12/14/20
end_p_ci_up	03/06/21
begin_str	08/19/2020
