stat	value
thetaS_last_obs_p_mean	0.9670628
thetaI_last_obs_p_mean	0.0007628194
thetaR_last_obs_p_mean	0.03217441
thetaS_last_obs_p_ci_low	0.9663534
thetaS_last_obs_p_ci_med	0.9670635
thetaS_last_obs_p_ci_up	0.967768
thetaI_last_obs_p_ci_low	0.0006551382
thetaI_last_obs_p_ci_med	0.0007616408
thetaI_last_obs_p_ci_up	0.0008760564
thetaR_last_obs_p_ci_low	0.0314785
thetaR_last_obs_p_ci_med	0.03217303
thetaR_last_obs_p_ci_up	0.03287379
R0_p_mean	0.8332323
R0_p_ci_low	0.5267381
R0_p_ci_med	0.8319851
R0_p_ci_up	1.165681
gamma_p_mean	0.07106507
gamma_p_ci_low	0.01625027
gamma_p_ci_med	0.06859071
gamma_p_ci_up	0.1397382
beta_p_mean	0.0595145
beta_p_ci_low	0.0132435
beta_p_ci_med	0.05555345
beta_p_ci_up	0.127577
incidence_mean	0.004664932
incidence_ci_low	0.00123641
incidence_ci_median	0.004418395
incidence_ci_up	0.00945904
thetaI_tp1_mean	2.96986e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0003536578
thetaR_tp1_mean	0.03368358
thetaR_tp1_ci_low	0.02358349
thetaR_tp1_ci_med	0.03347716
thetaR_tp1_ci_up	0.04500859
Y_tp1_mean	2.974532e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0003565487
R_tp1_mean	0.03368464
R_tp1_ci_low	0.02356027
R_tp1_ci_med	0.03346839
R_tp1_ci_up	0.04506679
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.03368358
thetaR_max_ci_low	0.02358349
thetaR_max_ci_med	0.03347716
thetaR_max_ci_up	0.04500859
cumInf_mean	0.03371328
cumInf_ci_low	0.02360447
cumInf_ci_med	0.03350333
cumInf_ci_up	0.04506549
dthetaI_tp1_date	08/21/21
first_tp_mean	02/12/21
first_tp_ci_low	02/03/21
first_tp_ci_med	02/10/21
first_tp_ci_up	03/19/21
dthetaI_tp2_date	08/21/21
second_tp_mean	02/13/21
second_tp_ci_low	02/03/21
second_tp_ci_med	02/11/21
second_tp_ci_up	03/20/21
end_p_mean	06/13/21
end_p_ci_low	04/22/21
end_p_ci_med	06/05/21
end_p_ci_up	08/21/21
begin_str	02/03/2021
