stat	value
thetaS_last_obs_p_mean	0.9878056
thetaI_last_obs_p_mean	0.000124132
thetaR_last_obs_p_mean	0.01207024
thetaS_last_obs_p_ci_low	0.9873707
thetaS_last_obs_p_ci_med	0.9878065
thetaS_last_obs_p_ci_up	0.9882363
thetaI_last_obs_p_ci_low	8.281015e-05
thetaI_last_obs_p_ci_med	0.0001233546
thetaI_last_obs_p_ci_up	0.0001703258
thetaR_last_obs_p_ci_low	0.01164182
thetaR_last_obs_p_ci_med	0.01206935
thetaR_last_obs_p_ci_up	0.01250276
R0_p_mean	1.226933
R0_p_ci_low	0.5746091
R0_p_ci_med	1.103361
R0_p_ci_up	2.554814
gamma_p_mean	0.05258511
gamma_p_ci_low	0.005984764
gamma_p_ci_med	0.03628078
gamma_p_ci_up	0.1922062
beta_p_mean	0.05541744
beta_p_ci_low	0.007722895
beta_p_ci_med	0.04183605
beta_p_ci_up	0.1852243
incidence_mean	0.006830067
incidence_ci_low	0.0001078417
incidence_ci_median	0.0008300978
incidence_ci_up	0.05124318
thetaI_tp1_mean	0.002016516
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01712053
thetaR_tp1_mean	0.01646577
thetaR_tp1_ci_low	0.006850604
thetaR_tp1_ci_med	0.01299517
thetaR_tp1_ci_up	0.04446537
Y_tp1_mean	0.002016242
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01709165
R_tp1_mean	0.01646586
R_tp1_ci_low	0.006830136
R_tp1_ci_med	0.01299445
R_tp1_ci_up	0.04445733
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01646577
thetaR_max_ci_low	0.006850604
thetaR_max_ci_med	0.01299517
thetaR_max_ci_up	0.04446537
cumInf_mean	0.01848229
cumInf_ci_low	0.00689219
cumInf_ci_med	0.01319368
cumInf_ci_up	0.06238827
dthetaI_tp1_date	07/26/21
first_tp_mean	02/24/21
first_tp_ci_low	01/08/21
first_tp_ci_med	02/05/21
first_tp_ci_up	07/26/21
dthetaI_tp2_date	07/26/21
second_tp_mean	02/27/21
second_tp_ci_low	01/10/21
second_tp_ci_med	02/06/21
second_tp_ci_up	07/26/21
end_p_mean	05/19/21
end_p_ci_low	03/06/21
end_p_ci_med	05/05/21
end_p_ci_up	07/26/21
begin_str	01/08/2021
