stat	value
thetaS_last_obs_p_mean	0.9896076
thetaI_last_obs_p_mean	0.0001072164
thetaR_last_obs_p_mean	0.0102852
thetaS_last_obs_p_ci_low	0.9892016
thetaS_last_obs_p_ci_med	0.9896089
thetaS_last_obs_p_ci_up	0.9900083
thetaI_last_obs_p_ci_low	6.886797e-05
thetaI_last_obs_p_ci_med	0.0001063812
thetaI_last_obs_p_ci_up	0.0001506691
thetaR_last_obs_p_ci_low	0.009885889
thetaR_last_obs_p_ci_med	0.01028401
thetaR_last_obs_p_ci_up	0.01068953
R0_p_mean	0.8329448
R0_p_ci_low	0.4735731
R0_p_ci_med	0.7997727
R0_p_ci_up	1.48422
gamma_p_mean	0.09657167
gamma_p_ci_low	0.01161833
gamma_p_ci_med	0.0908565
gamma_p_ci_up	0.2203497
beta_p_mean	0.07722195
beta_p_ci_low	0.01218489
beta_p_ci_med	0.06834872
beta_p_ci_up	0.1911656
incidence_mean	0.002066752
incidence_ci_low	0.0002768358
incidence_ci_median	0.001524143
incidence_ci_up	0.0063509
thetaI_tp1_mean	9.938355e-05
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.0007681828
thetaR_tp1_mean	0.01099709
thetaR_tp1_ci_low	0.005260894
thetaR_tp1_ci_med	0.01058755
thetaR_tp1_ci_up	0.0186235
Y_tp1_mean	9.932942e-05
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.0007638857
R_tp1_mean	0.01099816
R_tp1_ci_low	0.005240318
R_tp1_ci_med	0.01058553
R_tp1_ci_up	0.01864646
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01099709
thetaR_max_ci_low	0.005260894
thetaR_max_ci_med	0.01058755
thetaR_max_ci_up	0.0186235
cumInf_mean	0.01109647
cumInf_ci_low	0.005266424
cumInf_ci_med	0.01061462
cumInf_ci_up	0.01893359
dthetaI_tp1_date	06/10/21
first_tp_mean	12/10/20
first_tp_ci_low	11/23/20
first_tp_ci_med	11/26/20
first_tp_ci_up	02/10/21
dthetaI_tp2_date	06/10/21
second_tp_mean	12/12/20
second_tp_ci_low	11/23/20
second_tp_ci_med	11/27/20
second_tp_ci_up	03/27/21
end_p_mean	03/01/21
end_p_ci_low	01/16/21
end_p_ci_med	02/14/21
end_p_ci_up	06/10/21
begin_str	11/23/2020
