stat	value
thetaS_last_obs_p_mean	0.9885831
thetaI_last_obs_p_mean	0.0001111608
thetaR_last_obs_p_mean	0.01130574
thetaS_last_obs_p_ci_low	0.9881677
thetaS_last_obs_p_ci_med	0.9885835
thetaS_last_obs_p_ci_up	0.9889969
thetaI_last_obs_p_ci_low	7.291085e-05
thetaI_last_obs_p_ci_med	0.0001102657
thetaI_last_obs_p_ci_up	0.000153896
thetaR_last_obs_p_ci_low	0.0108942
thetaR_last_obs_p_ci_med	0.01130528
thetaR_last_obs_p_ci_up	0.01171954
R0_p_mean	1.459531
R0_p_ci_low	0.661848
R0_p_ci_med	1.327098
R0_p_ci_up	2.987609
gamma_p_mean	0.04703009
gamma_p_ci_low	0.006189052
gamma_p_ci_med	0.03291133
gamma_p_ci_up	0.1730092
beta_p_mean	0.05948262
beta_p_ci_low	0.008454288
beta_p_ci_med	0.04665888
beta_p_ci_up	0.187421
incidence_mean	0.02419573
incidence_ci_low	8.605846e-05
incidence_ci_median	0.0008667473
incidence_ci_up	0.2919805
thetaI_tp1_mean	0.006976009
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.07868163
thetaR_tp1_mean	0.02578159
thetaR_tp1_ci_low	0.006561054
thetaR_tp1_ci_med	0.01276397
thetaR_tp1_ci_up	0.1725716
Y_tp1_mean	0.006975722
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.07877032
R_tp1_mean	0.02578093
R_tp1_ci_low	0.006545872
R_tp1_ci_med	0.01276576
R_tp1_ci_up	0.1725872
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02748558
thetaR_max_ci_low	0.006497051
thetaR_max_ci_med	0.01281651
thetaR_max_ci_up	0.1982403
cumInf_mean	0.03502093
cumInf_ci_low	0.006545982
cumInf_ci_med	0.01314034
cumInf_ci_up	0.3001033
dthetaI_tp1_date	06/05/21
first_tp_mean	01/25/21
first_tp_ci_low	11/23/20
first_tp_ci_med	12/18/20
first_tp_ci_up	06/10/21
dthetaI_tp2_date	06/05/21
second_tp_mean	01/27/21
second_tp_ci_low	11/25/20
second_tp_ci_med	12/20/20
second_tp_ci_up	06/10/21
end_p_mean	04/13/21
end_p_ci_low	01/19/21
end_p_ci_med	04/18/21
end_p_ci_up	06/10/21
begin_str	11/23/2020
