stat	value
thetaS_last_obs_p_mean	0.9961232
thetaI_last_obs_p_mean	7.941065e-05
thetaR_last_obs_p_mean	0.00379739
thetaS_last_obs_p_ci_low	0.9958747
thetaS_last_obs_p_ci_med	0.9961243
thetaS_last_obs_p_ci_up	0.996367
thetaI_last_obs_p_ci_low	4.770814e-05
thetaI_last_obs_p_ci_med	7.845887e-05
thetaI_last_obs_p_ci_up	0.0001160699
thetaR_last_obs_p_ci_low	0.003555933
thetaR_last_obs_p_ci_med	0.003796496
thetaR_last_obs_p_ci_up	0.004043543
R0_p_mean	1.335248
R0_p_ci_low	0.6256245
R0_p_ci_med	1.209749
R0_p_ci_up	2.733301
gamma_p_mean	0.04980907
gamma_p_ci_low	0.006396576
gamma_p_ci_med	0.03660545
gamma_p_ci_up	0.166812
beta_p_mean	0.05790368
beta_p_ci_low	0.008590467
beta_p_ci_med	0.0466485
beta_p_ci_up	0.172243
incidence_mean	0.001425685
incidence_ci_low	9.11169e-05
incidence_ci_median	0.0005580257
incidence_ci_up	0.007105818
thetaI_tp1_mean	0.000223725
thetaI_tp1_ci_low	0.0001764472
thetaI_tp1_ci_med	0.0002230883
thetaI_tp1_ci_up	0.0002747123
thetaR_tp1_mean	0.00300856
thetaR_tp1_ci_low	0.00282992
thetaR_tp1_ci_med	0.003007999
thetaR_tp1_ci_up	0.003191283
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.004075801
R_tp1_ci_low	0.001593485
R_tp1_ci_med	0.00387458
R_tp1_ci_up	0.007571617
thetaI_tp2_mean	0.0002349471
thetaI_tp2_ci_low	0.0001867881
thetaI_tp2_ci_med	0.0002342541
thetaI_tp2_ci_up	0.0002869019
thetaR_tp2_mean	0.003122859
thetaR_tp2_ci_low	0.002939687
thetaR_tp2_ci_med	0.003122073
thetaR_tp2_ci_up	0.003309751
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.004506037
thetaR_max_ci_low	0.001027699
thetaR_max_ci_med	0.003953044
thetaR_max_ci_up	0.01021413
cumInf_mean	0.004828444
cumInf_ci_low	0.001036347
cumInf_ci_med	0.004004885
cumInf_ci_up	0.01174933
dthetaI_tp1_date	11/26/20
first_tp_mean	12/02/20
first_tp_ci_low	11/20/20
first_tp_ci_med	11/26/20
first_tp_ci_up	05/27/21
dthetaI_tp2_date	12/01/20
second_tp_mean	12/04/20
second_tp_ci_low	11/22/20
second_tp_ci_med	11/29/20
second_tp_ci_up	05/27/21
end_p_mean	03/05/21
end_p_ci_low	01/12/21
end_p_ci_med	02/12/21
end_p_ci_up	06/07/21
begin_str	11/20/2020
