stat	value
thetaS_last_obs_p_mean	0.9980901
thetaI_last_obs_p_mean	0.0002951745
thetaR_last_obs_p_mean	0.001614707
thetaS_last_obs_p_ci_low	0.9979152
thetaS_last_obs_p_ci_med	0.9980912
thetaS_last_obs_p_ci_up	0.9982601
thetaI_last_obs_p_ci_low	0.0002299055
thetaI_last_obs_p_ci_med	0.0002941453
thetaI_last_obs_p_ci_up	0.0003658792
thetaR_last_obs_p_ci_low	0.001458668
thetaR_last_obs_p_ci_med	0.001613739
thetaR_last_obs_p_ci_up	0.001775596
R0_p_mean	1.43718
R0_p_ci_low	0.7533724
R0_p_ci_med	1.328606
R0_p_ci_up	2.743389
gamma_p_mean	0.05675245
gamma_p_ci_low	0.009406075
gamma_p_ci_med	0.04937998
gamma_p_ci_up	0.142461
beta_p_mean	0.07403967
beta_p_ci_low	0.01372834
beta_p_ci_med	0.06786746
beta_p_ci_up	0.1682053
incidence_mean	0.06780437
incidence_ci_low	0.0003774765
incidence_ci_median	0.009320618
incidence_ci_up	0.5421226
thetaI_tp1_mean	0.01181
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001446211
thetaI_tp1_ci_up	0.1006582
thetaR_tp1_mean	0.02674484
thetaR_tp1_ci_low	0.0006850046
thetaR_tp1_ci_med	0.005922521
thetaR_tp1_ci_up	0.2199845
Y_tp1_mean	0.01180861
Y_tp1_ci_low	0
Y_tp1_ci_med	0.001444707
Y_tp1_ci_up	0.1007373
R_tp1_mean	0.02674495
R_tp1_ci_low	0.0006773835
R_tp1_ci_med	0.00592671
R_tp1_ci_up	0.2199893
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.05043774
thetaR_max_ci_low	0.0005781042
thetaR_max_ci_med	0.008123443
thetaR_max_ci_up	0.4211555
cumInf_mean	0.06837771
cumInf_ci_low	0.0006060433
cumInf_ci_med	0.01057005
cumInf_ci_up	0.5399781
dthetaI_tp1_date	02/01/21
first_tp_mean	11/26/20
first_tp_ci_low	08/16/20
first_tp_ci_med	09/27/20
first_tp_ci_up	03/02/21
dthetaI_tp2_date	02/01/21
second_tp_mean	11/29/20
second_tp_ci_low	08/18/20
second_tp_ci_med	09/28/20
second_tp_ci_up	03/02/21
end_p_mean	02/12/21
end_p_ci_low	11/03/20
end_p_ci_med	03/02/21
end_p_ci_up	03/02/21
begin_str	08/15/2020
