stat	value
thetaS_last_obs_p_mean	0.9918933
thetaI_last_obs_p_mean	0.0001119291
thetaR_last_obs_p_mean	0.007994737
thetaS_last_obs_p_ci_low	0.9915389
thetaS_last_obs_p_ci_med	0.9918944
thetaS_last_obs_p_ci_up	0.9922418
thetaI_last_obs_p_ci_low	7.373886e-05
thetaI_last_obs_p_ci_med	0.0001109287
thetaI_last_obs_p_ci_up	0.0001555002
thetaR_last_obs_p_ci_low	0.007649154
thetaR_last_obs_p_ci_med	0.007993391
thetaR_last_obs_p_ci_up	0.008346928
R0_p_mean	1.403306
R0_p_ci_low	0.6349105
R0_p_ci_med	1.273925
R0_p_ci_up	2.885758
gamma_p_mean	0.04570712
gamma_p_ci_low	0.005986737
gamma_p_ci_med	0.03251885
gamma_p_ci_up	0.1634852
beta_p_mean	0.05556643
beta_p_ci_low	0.008113217
beta_p_ci_med	0.04397944
beta_p_ci_up	0.1723646
incidence_mean	0.0008612193
incidence_ci_low	7.915412e-05
incidence_ci_median	0.0004815471
incidence_ci_up	0.003603109
thetaI_tp1_mean	0.000139876
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.001216266
thetaR_tp1_mean	0.008446389
thetaR_tp1_ci_low	0.003735574
thetaR_tp1_ci_med	0.008167345
thetaR_tp1_ci_up	0.01462392
Y_tp1_mean	0.0001398965
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.00122729
R_tp1_mean	0.008446049
R_tp1_ci_low	0.003721297
R_tp1_ci_med	0.008162747
R_tp1_ci_up	0.01465194
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.008446389
thetaR_max_ci_low	0.003735574
thetaR_max_ci_med	0.008167345
thetaR_max_ci_up	0.01462392
cumInf_mean	0.008586265
cumInf_ci_low	0.003756721
cumInf_ci_med	0.008226699
cumInf_ci_up	0.01506424
dthetaI_tp1_date	07/14/21
first_tp_mean	01/18/21
first_tp_ci_low	12/27/20
first_tp_ci_med	01/14/21
first_tp_ci_up	02/09/21
dthetaI_tp2_date	07/14/21
second_tp_mean	01/20/21
second_tp_ci_low	12/29/20
second_tp_ci_med	01/16/21
second_tp_ci_up	02/11/21
end_p_mean	04/17/21
end_p_ci_low	02/21/21
end_p_ci_med	03/30/21
end_p_ci_up	07/14/21
begin_str	12/27/2020
